Sentence,Label,Supar_CDS,Stanza_off_the_shelf,Gold_annotation
on this this train .,"subject, verb","1	on	_	_	_	_	4	case	_	_
2	this	_	_	_	_	3	reparandum	_	_
3	this	_	_	_	_	4	det	_	_
4	train	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	on	_	ADP	IN	_	2	case	_	_
2	this	_	PRON	DT	_	0	root	_	_
3	this	_	DET	DT	_	4	det	_	_
4	train	_	NOUN	NN	_	2	nmod:unmarked	_	_
5	.	_	PUNCT	.	_	2	punct	_	_",
"Mummy , need you sit there .","subject, tense_aspect","1	Mummy	_	_	_	_	3	vocative	_	_
2	,	_	_	_	_	3	nsubj	_	_
3	need	_	_	_	_	0	root	_	_
4	you	_	_	_	_	3	obj	_	_
5	sit	_	_	_	_	3	xcomp	_	_
6	there	_	_	_	_	5	advmod	_	_
7	.	_	_	_	_	3	punct	_	_","1	Mummy	_	NOUN	NN	_	3	vocative	_	_
2	,	_	PUNCT	,	_	1	punct	_	_
3	need	_	VERB	VB	_	0	root	_	_
4	you	_	PRON	PRP	_	5	nsubj	_	_
5	sit	_	VERB	VBP	_	3	ccomp	_	_
6	there	_	ADV	RB	_	5	advmod	_	_
7	.	_	PUNCT	.	_	3	punct	_	_",
Mummy need to do it .,sv_agreement,"1	Mummy	_	_	_	_	2	vocative	_	_
2	need	_	_	_	_	0	root	_	_
3	to	_	_	_	_	4	mark	_	_
4	do	_	_	_	_	2	xcomp	_	_
5	it	_	_	_	_	4	obj	_	_
6	.	_	_	_	_	2	punct	_	_","1	Mummy	_	NOUN	NN	_	2	nsubj	_	_
2	need	_	VERB	VBP	_	0	root	_	_
3	to	_	PART	TO	_	4	mark	_	_
4	do	_	VERB	VB	_	2	xcomp	_	_
5	it	_	PRON	PRP	_	4	obj	_	_
6	.	_	PUNCT	.	_	2	punct	_	_",
you're poorly Mummy .,other,"1	you're	_	_	_	_	2	nsubj	_	_
2	poorly	_	_	_	_	0	root	_	_
3	Mummy	_	_	_	_	2	vocative	_	_
4	.	_	_	_	_	2	punct	_	_","1	you	_	PRON	PRP	_	4	nsubj	_	_
2	're	_	AUX	VBP	_	4	cop	_	_
3	poorly	_	ADV	RB	_	4	advmod	_	_
4	Mummy	_	PROPN	NNP	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
you're poorly .,other,"1	you're	_	_	_	_	2	nsubj	_	_
2	poorly	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	you	_	PRON	PRP	_	3	nsubj	_	_
2	're	_	AUX	VBP	_	3	cop	_	_
3	poorly	_	ADV	RB	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
wanna read it .,subject,"1	wanna	_	_	_	_	0	root	_	_
2	read	_	_	_	_	1	xcomp	_	_
3	it	_	_	_	_	2	obj	_	_
4	.	_	_	_	_	1	punct	_	_","1	wan	_	VERB	VBP	_	0	root	_	_
2	na	_	PART	TO	_	3	mark	_	_
3	read	_	VERB	VB	_	1	xcomp	_	_
4	it	_	PRON	PRP	_	3	obj	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
oops stopped .,subject,"1	oops	_	_	_	_	2	discourse	_	_
2	stopped	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	oops	_	NOUN	NN	_	2	nsubj	_	_
2	stopped	_	VERB	VBD	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_",
because it's police car .,determiner,"1	because	_	_	_	_	4	mark	_	_
2	it's	_	_	_	_	4	cop	_	_
3	police	_	_	_	_	4	compound	_	_
4	car	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	because	_	SCONJ	IN	_	5	mark	_	_
2	it	_	PRON	PRP	_	5	nsubj	_	_
3	's	_	AUX	VBZ	_	5	cop	_	_
4	police	_	NOUN	NN	_	5	compound	_	_
5	car	_	NOUN	NN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
naughty Mummy the policeman say .,"determiner, sv_agreement","1	naughty	_	_	_	_	5	parataxis	_	_
2	Mummy	_	_	_	_	5	vocative	_	_
3	the	_	_	_	_	4	det	_	_
4	policeman	_	_	_	_	5	nsubj	_	_
5	say	_	_	_	_	0	root	_	_
6	.	_	_	_	_	5	punct	_	_","1	naughty	_	ADJ	JJ	_	2	amod	_	_
2	Mummy	_	NOUN	NN	_	5	nsubj	_	_
3	the	_	DET	DT	_	4	det	_	_
4	policeman	_	NOUN	NN	_	5	nsubj	_	_
5	say	_	VERB	VBP	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
um bashed that tray over there up on your .,"subject, other","1	um	_	_	_	_	2	discourse	_	_
2	bashed	_	_	_	_	0	root	_	_
3	that	_	_	_	_	4	det	_	_
4	tray	_	_	_	_	2	obj	_	_
5	over	_	_	_	_	6	advmod	_	_
6	there	_	_	_	_	2	obl	_	_
7	up	_	_	_	_	9	advmod	_	_
8	on	_	_	_	_	9	case	_	_
9	your	_	_	_	_	2	obl	_	_
10	.	_	_	_	_	2	punct	_	_","1	um	_	INTJ	UH	_	2	discourse	_	_
2	bashed	_	VERB	VBD	_	0	root	_	_
3	that	_	DET	DT	_	4	det	_	_
4	tray	_	NOUN	NN	_	2	obj	_	_
5	over	_	ADP	IN	_	6	case	_	_
6	there	_	ADV	RB	_	2	obl	_	_
7	up	_	ADP	RP	_	2	compound:prt	_	_
8	on	_	ADP	IN	_	9	case	_	_
9	your	_	PRON	PRP$	_	2	obl	_	_
10	.	_	PUNCT	.	_	2	punct	_	_",
and the policeman what's going on .,verb,"1	and	_	_	_	_	3	cc	_	_
2	the	_	_	_	_	3	det	_	_
3	policeman	_	_	_	_	0	root	_	_
4	what's	_	_	_	_	5	aux	_	_
5	going	_	_	_	_	3	parataxis	_	_
6	on	_	_	_	_	5	advmod	_	_
7	.	_	_	_	_	3	punct	_	_","1	and	_	CCONJ	CC	_	3	cc	_	_
2	the	_	DET	DT	_	3	det	_	_
3	policeman	_	NOUN	NN	_	0	root	_	_
4	what	_	PRON	WP	_	6	nsubj	_	_
5	's	_	AUX	VBZ	_	6	aux	_	_
6	going	_	VERB	VBG	_	3	acl:relcl	_	_
7	on	_	ADP	RP	_	6	compound:prt	_	_
8	.	_	PUNCT	.	_	3	punct	_	_",
naughty Mummy policeman said .,determiner,"1	naughty	_	_	_	_	0	root	_	_
2	Mummy	_	_	_	_	4	vocative	_	_
3	policeman	_	_	_	_	4	nsubj	_	_
4	said	_	_	_	_	1	parataxis	_	_
5	.	_	_	_	_	1	punct	_	_","1	naughty	_	ADJ	JJ	_	3	amod	_	_
2	Mummy	_	NOUN	NN	_	3	compound	_	_
3	policeman	_	NOUN	NN	_	4	nsubj	_	_
4	said	_	VERB	VBD	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
loads of Smarties me .,"verb, preposition","1	loads	_	_	_	_	0	root	_	_
2	of	_	_	_	_	3	case	_	_
3	Smarties	_	_	_	_	1	nmod	_	_
4	me	_	_	_	_	1	parataxis	_	_
5	.	_	_	_	_	1	punct	_	_","1	loads	_	NOUN	NNS	_	0	root	_	_
2	of	_	ADP	IN	_	3	case	_	_
3	Smarties	_	NOUN	NNS	_	1	nmod	_	_
4	me	_	PRON	PRP	_	3	flat	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
um I not like lit little boy .,"auxiliary, determiner","1	um	_	_	_	_	7	discourse	_	_
2	I	_	_	_	_	7	nsubj	_	_
3	not	_	_	_	_	7	advmod	_	_
4	like	_	_	_	_	7	case	_	_
5	lit	_	_	_	_	7	amod	_	_
6	little	_	_	_	_	7	amod	_	_
7	boy	_	_	_	_	0	root	_	_
8	.	_	_	_	_	7	punct	_	_","1	um	_	INTJ	UH	_	7	discourse	_	_
2	I	_	PRON	PRP	_	7	nsubj	_	_
3	not	_	PART	RB	_	7	advmod	_	_
4	like	_	INTJ	UH	_	7	discourse	_	_
5	lit	_	ADJ	JJ	_	7	amod	_	_
6	little	_	ADJ	JJ	_	7	amod	_	_
7	boy	_	NOUN	NN	_	0	root	_	_
8	.	_	PUNCT	.	_	7	punct	_	_",
crying wanna go down there .,subject,"1	crying	_	_	_	_	0	root	_	_
2	wanna	_	_	_	_	1	parataxis	_	_
3	go	_	_	_	_	2	xcomp	_	_
4	down	_	_	_	_	5	advmod	_	_
5	there	_	_	_	_	3	advmod	_	_
6	.	_	_	_	_	1	punct	_	_","1	crying	_	VERB	VBG	_	2	csubj	_	_
2	wan	_	VERB	VB	_	0	root	_	_
3	na	_	PART	TO	_	4	mark	_	_
4	go	_	VERB	VB	_	2	xcomp	_	_
5	down	_	ADP	RP	_	4	compound:prt	_	_
6	there	_	ADV	RB	_	4	advmod	_	_
7	.	_	PUNCT	.	_	2	punct	_	_",
the another train driver .,determiner,"1	the	_	_	_	_	2	reparandum	_	_
2	another	_	_	_	_	4	det	_	_
3	train	_	_	_	_	4	compound	_	_
4	driver	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	the	_	DET	DT	_	4	det	_	_
2	another	_	DET	DT	_	4	det	_	_
3	train	_	NOUN	NN	_	4	compound	_	_
4	driver	_	NOUN	NN	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
it's in playgroup .,determiner,"1	it's	_	_	_	_	3	nsubj	_	_
2	in	_	_	_	_	3	case	_	_
3	playgroup	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	it	_	PRON	PRP	_	4	nsubj	_	_
2	's	_	AUX	VBZ	_	4	cop	_	_
3	in	_	ADP	IN	_	4	case	_	_
4	playgroup	_	NOUN	NN	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
driver oh that's mine .,"determiner, other","1	driver	_	_	_	_	0	root	_	_
2	oh	_	_	_	_	4	discourse	_	_
3	that's	_	_	_	_	4	nsubj	_	_
4	mine	_	_	_	_	1	parataxis	_	_
5	.	_	_	_	_	1	punct	_	_","1	driver	_	NOUN	NN	_	5	vocative	_	_
2	oh	_	INTJ	UH	_	5	discourse	_	_
3	that	_	PRON	DT	_	5	nsubj	_	_
4	's	_	AUX	VBZ	_	5	cop	_	_
5	mine	_	PRON	PRP	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
broken the train driver .,"verb, other","1	broken	_	_	_	_	0	root	_	_
2	the	_	_	_	_	4	det	_	_
3	train	_	_	_	_	4	compound	_	_
4	driver	_	_	_	_	1	parataxis	_	_
5	.	_	_	_	_	1	punct	_	_","1	broken	_	VERB	VBD	_	0	root	_	_
2	the	_	DET	DT	_	4	det	_	_
3	train	_	NOUN	NN	_	4	compound	_	_
4	driver	_	NOUN	NN	_	1	obj	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
this this the police car nee nah nee nah .,verb,"1	this	_	_	_	_	2	reparandum	_	_
2	this	_	_	_	_	5	nsubj	_	_
3	the	_	_	_	_	5	det	_	_
4	police	_	_	_	_	5	compound	_	_
5	car	_	_	_	_	0	root	_	_
6	nee	_	_	_	_	5	discourse	_	_
7	nah	_	_	_	_	6	conj	_	_
8	nee	_	_	_	_	6	conj	_	_
9	nah	_	_	_	_	6	conj	_	_
10	.	_	_	_	_	5	punct	_	_","1	this	_	PRON	DT	_	5	nsubj	_	_
2	this	_	DET	DT	_	5	det	_	_
3	the	_	DET	DT	_	5	det	_	_
4	police	_	NOUN	NN	_	5	compound	_	_
5	car	_	NOUN	NN	_	0	root	_	_
6	nee	_	INTJ	UH	_	5	reparandum	_	_
7	nah	_	INTJ	UH	_	5	discourse	_	_
8	nee	_	INTJ	UH	_	5	discourse	_	_
9	nah	_	INTJ	UH	_	5	discourse	_	_
10	.	_	PUNCT	.	_	5	punct	_	_",
fire engine coming nee nah .,"determiner, present_progressive","1	fire	_	_	_	_	2	compound	_	_
2	engine	_	_	_	_	3	nsubj	_	_
3	coming	_	_	_	_	0	root	_	_
4	nee	_	_	_	_	3	discourse	_	_
5	nah	_	_	_	_	4	discourse	_	_
6	.	_	_	_	_	3	punct	_	_","1	fire	_	NOUN	NN	_	2	compound	_	_
2	engine	_	NOUN	NN	_	3	nsubj	_	_
3	coming	_	VERB	VBG	_	0	root	_	_
4	nee	_	INTJ	UH	_	3	discourse	_	_
5	nah	_	INTJ	UH	_	3	discourse	_	_
6	.	_	PUNCT	.	_	3	punct	_	_",
"that's very clever you , Mummy .",preposition,"1	that's	_	_	_	_	3	nsubj	_	_
2	very	_	_	_	_	3	advmod	_	_
3	clever	_	_	_	_	0	root	_	_
4	you	_	_	_	_	3	parataxis	_	_
5	,	_	_	_	_	4	punct	_	_
6	Mummy	_	_	_	_	3	vocative	_	_
7	.	_	_	_	_	3	punct	_	_","1	that	_	PRON	DT	_	4	nsubj	_	_
2	's	_	AUX	VBZ	_	4	cop	_	_
3	very	_	ADV	RB	_	4	advmod	_	_
4	clever	_	ADJ	JJ	_	0	root	_	_
5	you	_	PRON	PRP	_	4	vocative	_	_
6	,	_	PUNCT	,	_	7	punct	_	_
7	Mummy	_	PROPN	NNP	_	4	vocative	_	_
8	.	_	PUNCT	.	_	4	punct	_	_",
I driving off .,auxiliary,"1	I	_	_	_	_	2	nsubj	_	_
2	driving	_	_	_	_	0	root	_	_
3	off	_	_	_	_	2	advmod	_	_
4	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	driving	_	VERB	VBG	_	0	root	_	_
3	off	_	ADP	RP	_	2	compound:prt	_	_
4	.	_	PUNCT	.	_	2	punct	_	_",
that near that flower .,verb,"1	that	_	_	_	_	4	nsubj	_	_
2	near	_	_	_	_	4	case	_	_
3	that	_	_	_	_	4	det	_	_
4	flower	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	that	_	PRON	DT	_	0	root	_	_
2	near	_	ADP	IN	_	4	case	_	_
3	that	_	DET	DT	_	4	det	_	_
4	flower	_	NOUN	NN	_	1	nmod	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
I mend I mend your fire .,present_progressive,"1	I	_	_	_	_	2	nsubj	_	_
2	mend	_	_	_	_	4	reparandum	_	_
3	I	_	_	_	_	4	nsubj	_	_
4	mend	_	_	_	_	0	root	_	_
5	your	_	_	_	_	6	nmod:poss	_	_
6	fire	_	_	_	_	4	obj	_	_
7	.	_	_	_	_	4	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	mend	_	VERB	VBP	_	0	root	_	_
3	I	_	PRON	PRP	_	4	nsubj	_	_
4	mend	_	VERB	VBP	_	2	ccomp	_	_
5	your	_	PRON	PRP$	_	6	nmod:poss	_	_
6	fire	_	NOUN	NN	_	4	obj	_	_
7	.	_	PUNCT	.	_	2	punct	_	_",
you're being naughty a policemen will .,"verb, object","1	you're	_	_	_	_	3	nsubj	_	_
2	being	_	_	_	_	3	cop	_	_
3	naughty	_	_	_	_	0	root	_	_
4	a	_	_	_	_	5	det	_	_
5	policemen	_	_	_	_	6	nsubj	_	_
6	will	_	_	_	_	3	parataxis	_	_
7	.	_	_	_	_	3	punct	_	_","1	you	_	PRON	PRP	_	4	nsubj	_	_
2	're	_	AUX	VBP	_	4	aux	_	_
3	being	_	AUX	VBG	_	4	cop	_	_
4	naughty	_	ADJ	JJ	_	0	root	_	_
5	a	_	DET	DT	_	6	det	_	_
6	policemen	_	NOUN	NNS	_	7	nsubj	_	_
7	will	_	AUX	MD	_	4	ccomp	_	_
8	.	_	PUNCT	.	_	4	punct	_	_",
"you Mummy have another cuddle , Tinky Winky .",other,"1	you	_	_	_	_	3	nsubj	_	_
2	Mummy	_	_	_	_	3	vocative	_	_
3	have	_	_	_	_	0	root	_	_
4	another	_	_	_	_	5	det	_	_
5	cuddle	_	_	_	_	3	obj	_	_
6	,	_	_	_	_	3	discourse	_	_
7	Tinky	_	_	_	_	3	vocative	_	_
8	Winky	_	_	_	_	7	flat	_	_
9	.	_	_	_	_	3	punct	_	_","1	you	_	PRON	PRP	_	2	dep	_	_
2	Mummy	_	NOUN	NN	_	3	nsubj	_	_
3	have	_	VERB	VBP	_	0	root	_	_
4	another	_	DET	DT	_	5	det	_	_
5	cuddle	_	NOUN	NN	_	3	obj	_	_
6	,	_	PUNCT	,	_	7	punct	_	_
7	Tinky	_	PROPN	NNP	_	5	appos	_	_
8	Winky	_	PROPN	NNP	_	7	flat	_	_
9	.	_	PUNCT	.	_	3	punct	_	_",
kiss Dipsy hair .,"subject, tense_aspect","1	kiss	_	_	_	_	0	root	_	_
2	Dipsy	_	_	_	_	3	nmod:poss	_	_
3	hair	_	_	_	_	1	obj	_	_
4	.	_	_	_	_	1	punct	_	_","1	kiss	_	VERB	VB	_	0	root	_	_
2	Dipsy	_	PROPN	NNP	_	3	compound	_	_
3	hair	_	NOUN	NN	_	1	obj	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
it's nice police car .,determiner,"1	it's	_	_	_	_	4	nsubj	_	_
2	nice	_	_	_	_	4	amod	_	_
3	police	_	_	_	_	4	compound	_	_
4	car	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	it	_	PRON	PRP	_	5	nsubj	_	_
2	's	_	AUX	VBZ	_	5	cop	_	_
3	nice	_	ADJ	JJ	_	5	amod	_	_
4	police	_	NOUN	NN	_	5	compound	_	_
5	car	_	NOUN	NN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
bit orange .,determiner,"1	bit	_	_	_	_	2	obl:npmod	_	_
2	orange	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	bit	_	NOUN	NN	_	2	obl:unmarked	_	_
2	orange	_	ADJ	JJ	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_",
that not flashing .,verb,"1	that	_	_	_	_	3	nsubj	_	_
2	not	_	_	_	_	3	advmod	_	_
3	flashing	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	that	_	SCONJ	IN	_	3	mark	_	_
2	not	_	PART	RB	_	3	advmod	_	_
3	flashing	_	VERB	VBG	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
want I want a dig Smarties .,"other, plural","1	want	_	_	_	_	2	reparandum	_	_
2	I	_	_	_	_	3	nsubj	_	_
3	want	_	_	_	_	0	root	_	_
4	a	_	_	_	_	5	det	_	_
5	dig	_	_	_	_	3	obj	_	_
6	Smarties	_	_	_	_	3	vocative	_	_
7	.	_	_	_	_	3	punct	_	_","1	want	_	VERB	VBP	_	0	root	_	_
2	I	_	PRON	PRP	_	3	nsubj	_	_
3	want	_	VERB	VBP	_	1	ccomp	_	_
4	a	_	DET	DT	_	6	det	_	_
5	dig	_	NOUN	NN	_	6	compound	_	_
6	Smarties	_	NOUN	NNS	_	3	obj	_	_
7	.	_	PUNCT	.	_	1	punct	_	_",
wanna to dig snow .,subject,"1	wanna	_	_	_	_	0	root	_	_
2	to	_	_	_	_	3	mark	_	_
3	dig	_	_	_	_	1	xcomp	_	_
4	snow	_	_	_	_	3	obj	_	_
5	.	_	_	_	_	1	punct	_	_","1	wan	_	VERB	VBP	_	0	root	_	_
2	na	_	PART	TO	_	4	mark	_	_
3	to	_	PART	TO	_	4	mark	_	_
4	dig	_	VERB	VB	_	1	xcomp	_	_
5	snow	_	NOUN	NN	_	4	obj	_	_
6	.	_	PUNCT	.	_	1	punct	_	_",
I'd like Smarties dig snow .,tense_aspect,"1	I'd	_	_	_	_	2	nsubj	_	_
2	like	_	_	_	_	0	root	_	_
3	Smarties	_	_	_	_	4	nsubj	_	_
4	dig	_	_	_	_	2	xcomp	_	_
5	snow	_	_	_	_	4	obj	_	_
6	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	'd	_	AUX	MD	_	3	aux	_	_
3	like	_	VERB	VB	_	0	root	_	_
4	Smarties	_	PROPN	NNPS	_	3	obj	_	_
5	dig	_	VERB	VB	_	3	xcomp	_	_
6	snow	_	NOUN	NN	_	5	obj	_	_
7	.	_	PUNCT	.	_	3	punct	_	_",
a digs more digs Smarties .,other,"1	a	_	_	_	_	2	discourse	_	_
2	digs	_	_	_	_	0	root	_	_
3	more	_	_	_	_	4	amod	_	_
4	digs	_	_	_	_	2	parataxis	_	_
5	Smarties	_	_	_	_	4	vocative	_	_
6	.	_	_	_	_	2	punct	_	_","1	a	_	DET	DT	_	2	nsubj	_	_
2	digs	_	VERB	VBZ	_	0	root	_	_
3	more	_	ADJ	JJR	_	5	amod	_	_
4	digs	_	NOUN	NNS	_	5	compound	_	_
5	Smarties	_	NOUN	NNS	_	2	obj	_	_
6	.	_	PUNCT	.	_	2	punct	_	_",
