Sentence,Supar_CDS,Stanza_off_the_shelf,Gold_annotation
nee nah .,"1	nee	_	_	_	_	0	root	_	_
2	nah	_	_	_	_	1	flat	_	_
3	.	_	_	_	_	1	punct	_	_","1	nee	_	INTJ	UH	_	2	discourse	_	_
2	nah	_	INTJ	UH	_	0	root	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
bee bah .,"1	bee	_	_	_	_	0	root	_	_
2	bah	_	_	_	_	1	discourse	_	_
3	.	_	_	_	_	1	punct	_	_","1	bee	_	VERB	VB	_	0	root	_	_
2	bah	_	INTJ	UH	_	1	obj	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
nee nah .,"1	nee	_	_	_	_	0	root	_	_
2	nah	_	_	_	_	1	flat	_	_
3	.	_	_	_	_	1	punct	_	_","1	nee	_	INTJ	UH	_	2	discourse	_	_
2	nah	_	INTJ	UH	_	0	root	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
frightened somebody's beer .,"1	frightened	_	_	_	_	0	root	_	_
2	somebody's	_	_	_	_	3	nmod:poss	_	_
3	beer	_	_	_	_	1	obj	_	_
4	.	_	_	_	_	1	punct	_	_","1	frightened	_	VERB	VBD	_	0	root	_	_
2	somebody	_	PRON	NN	_	4	nmod:poss	_	_
3	's	_	PART	POS	_	2	case	_	_
4	beer	_	NOUN	NN	_	1	obj	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
smack that little Mummy .,"1	smack	_	_	_	_	0	root	_	_
2	that	_	_	_	_	1	obj	_	_
3	little	_	_	_	_	1	obj	_	_
4	Mummy	_	_	_	_	1	vocative	_	_
5	.	_	_	_	_	1	punct	_	_","1	smack	_	VERB	VB	_	0	root	_	_
2	that	_	DET	DT	_	4	det	_	_
3	little	_	ADJ	JJ	_	4	amod	_	_
4	Mummy	_	NOUN	NN	_	1	obj	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
"lots of vegetables , Mummy .","1	lots	_	_	_	_	0	root	_	_
2	of	_	_	_	_	3	case	_	_
3	vegetables	_	_	_	_	1	nmod	_	_
4	,	_	_	_	_	1	punct	_	_
5	Mummy	_	_	_	_	1	vocative	_	_
6	.	_	_	_	_	1	punct	_	_","1	lots	_	NOUN	NNS	_	0	root	_	_
2	of	_	ADP	IN	_	3	case	_	_
3	vegetables	_	NOUN	NNS	_	1	nmod	_	_
4	,	_	PUNCT	,	_	5	punct	_	_
5	Mummy	_	NOUN	NN	_	3	appos	_	_
6	.	_	PUNCT	.	_	1	punct	_	_",
there's Smarties .,"1	there's	_	_	_	_	0	root	_	_
2	Smarties	_	_	_	_	1	nsubj	_	_
3	.	_	_	_	_	1	punct	_	_","1	there	_	PRON	EX	_	2	expl	_	_
2	's	_	VERB	VBZ	_	0	root	_	_
3	Smarties	_	NOUN	NNS	_	2	nsubj	_	_
4	.	_	PUNCT	.	_	2	punct	_	_",
nee nah nee nah .,"1	nee	_	_	_	_	0	root	_	_
2	nah	_	_	_	_	1	flat	_	_
3	nee	_	_	_	_	1	conj	_	_
4	nah	_	_	_	_	1	flat	_	_
5	.	_	_	_	_	1	punct	_	_","1	nee	_	INTJ	UH	_	3	discourse	_	_
2	nah	_	INTJ	UH	_	3	discourse	_	_
3	nee	_	INTJ	UH	_	4	discourse	_	_
4	nah	_	INTJ	UH	_	0	root	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
he's going nee nah beep beep .,"1	he's	_	_	_	_	2	nsubj	_	_
2	going	_	_	_	_	0	root	_	_
3	nee	_	_	_	_	2	discourse	_	_
4	nah	_	_	_	_	3	conj	_	_
5	beep	_	_	_	_	2	parataxis	_	_
6	beep	_	_	_	_	5	conj	_	_
7	.	_	_	_	_	2	punct	_	_","1	he	_	PRON	PRP	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	aux	_	_
3	going	_	VERB	VBG	_	0	root	_	_
4	nee	_	PROPN	NNP	_	3	obj	_	_
5	nah	_	INTJ	UH	_	7	discourse	_	_
6	beep	_	NOUN	NN	_	7	compound	_	_
7	beep	_	NOUN	NN	_	3	obj	_	_
8	.	_	PUNCT	.	_	3	punct	_	_",
nee nah nee nah .,"1	nee	_	_	_	_	0	root	_	_
2	nah	_	_	_	_	1	flat	_	_
3	nee	_	_	_	_	1	conj	_	_
4	nah	_	_	_	_	1	flat	_	_
5	.	_	_	_	_	1	punct	_	_","1	nee	_	INTJ	UH	_	3	discourse	_	_
2	nah	_	INTJ	UH	_	3	discourse	_	_
3	nee	_	INTJ	UH	_	4	discourse	_	_
4	nah	_	INTJ	UH	_	0	root	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
nee nah nee nah .,"1	nee	_	_	_	_	0	root	_	_
2	nah	_	_	_	_	1	flat	_	_
3	nee	_	_	_	_	1	conj	_	_
4	nah	_	_	_	_	1	flat	_	_
5	.	_	_	_	_	1	punct	_	_","1	nee	_	INTJ	UH	_	3	discourse	_	_
2	nah	_	INTJ	UH	_	3	discourse	_	_
3	nee	_	INTJ	UH	_	4	discourse	_	_
4	nah	_	INTJ	UH	_	0	root	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
Tinky Winky said the policeman .,"1	Tinky	_	_	_	_	0	root	_	_
2	Winky	_	_	_	_	1	flat	_	_
3	said	_	_	_	_	1	parataxis	_	_
4	the	_	_	_	_	5	det	_	_
5	policeman	_	_	_	_	3	nsubj	_	_
6	.	_	_	_	_	1	punct	_	_","1	Tinky	_	PROPN	NNP	_	0	root	_	_
1	Winky	_	PROPN	NNP	_	2	nsubj	_	_
2	said	_	VERB	VBD	_	0	root	_	_
3	the	_	DET	DT	_	4	det	_	_
4	policeman	_	NOUN	NN	_	2	obj	_	_
5	.	_	PUNCT	.	_	2	punct	_	_",
Aunty Father Christmas brought you .,"1	Aunty	_	_	_	_	4	vocative	_	_
2	Father	_	_	_	_	4	nsubj	_	_
3	Christmas	_	_	_	_	2	flat	_	_
4	brought	_	_	_	_	0	root	_	_
5	you	_	_	_	_	4	obj	_	_
6	.	_	_	_	_	4	punct	_	_","1	Aunty	_	PROPN	NNP	_	4	nsubj	_	_
2	Father	_	PROPN	NNP	_	1	flat	_	_
3	Christmas	_	PROPN	NNP	_	1	flat	_	_
4	brought	_	VERB	VBD	_	0	root	_	_
5	you	_	PRON	PRP	_	4	obj	_	_
6	.	_	PUNCT	.	_	4	punct	_	_",
beebaa beebaa .,"1	beebaa	_	_	_	_	0	root	_	_
2	beebaa	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	beebaa	_	PROPN	NNP	_	0	root	_	_
2	beebaa	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
put to on to La La on there .,"1	put	_	_	_	_	0	root	_	_
2	to	_	_	_	_	3	reparandum	_	_
3	on	_	_	_	_	5	reparandum	_	_
4	to	_	_	_	_	5	case	_	_
5	La	_	_	_	_	1	obl	_	_
6	La	_	_	_	_	5	flat	_	_
7	on	_	_	_	_	8	case	_	_
8	there	_	_	_	_	1	obl	_	_
9	.	_	_	_	_	1	punct	_	_","1	put	_	VERB	VB	_	0	root	_	_
2	to	_	ADP	IN	_	1	advmod	_	_
3	on	_	ADP	IN	_	1	advmod	_	_
4	to	_	ADP	IN	_	5	case	_	_
5	La	_	PROPN	NNP	_	1	obl	_	_
6	La	_	PROPN	NNP	_	5	flat	_	_
7	on	_	ADP	IN	_	8	case	_	_
8	there	_	ADV	RB	_	1	obl	_	_
9	.	_	PUNCT	.	_	1	punct	_	_",
go in Daddy's car .,"1	go	_	_	_	_	0	root	_	_
2	in	_	_	_	_	4	case	_	_
3	Daddy's	_	_	_	_	4	nmod:poss	_	_
4	car	_	_	_	_	1	obl	_	_
5	.	_	_	_	_	1	punct	_	_","1	go	_	VERB	VB	_	0	root	_	_
2	in	_	ADP	IN	_	5	case	_	_
3	Daddy	_	PROPN	NNP	_	5	nmod:poss	_	_
4	's	_	PART	POS	_	3	case	_	_
5	car	_	NOUN	NN	_	1	obl	_	_
6	.	_	PUNCT	.	_	1	punct	_	_",
not today again .,"1	not	_	_	_	_	2	advmod	_	_
2	today	_	_	_	_	0	root	_	_
3	again	_	_	_	_	2	advmod	_	_
4	.	_	_	_	_	2	punct	_	_","1	not	_	PART	RB	_	2	advmod	_	_
2	today	_	NOUN	NN	_	3	obl:unmarked	_	_
3	again	_	ADV	RB	_	0	root	_	_
4	.	_	PUNCT	.	_	2	punct	_	_",
mummy take them away .,"1	mummy	_	_	_	_	2	vocative	_	_
2	take	_	_	_	_	0	root	_	_
3	them	_	_	_	_	2	obj	_	_
4	away	_	_	_	_	2	advmod	_	_
5	.	_	_	_	_	2	punct	_	_","1	mummy	_	NOUN	NN	_	2	nsubj	_	_
2	take	_	VERB	VB	_	0	root	_	_
3	them	_	PRON	PRP	_	2	obj	_	_
4	away	_	ADP	RP	_	2	compound:prt	_	_
5	.	_	PUNCT	.	_	2	punct	_	_",
mummy want an orange ?,"1	mummy	_	_	_	_	2	vocative	_	_
2	want	_	_	_	_	0	root	_	_
3	an	_	_	_	_	4	det	_	_
4	orange	_	_	_	_	2	obj	_	_
5	?	_	_	_	_	2	punct	_	_","1	mummy	_	NOUN	NN	_	2	nsubj	_	_
2	want	_	VERB	VB	_	0	root	_	_
3	an	_	DET	DT	_	4	det	_	_
4	orange	_	NOUN	NN	_	2	obj	_	_
5	?	_	PUNCT	.	_	2	punct	_	_",
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
snap snap .,"1	snap	_	_	_	_	0	root	_	_
2	snap	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	snap	_	VERB	VB	_	0	root	_	_
2	snap	_	NOUN	NN	_	1	obj	_	_
3	.	_	PUNCT	.	_	1	punct	_	_","1	Snap	snap	NOUN	NN	_	0	root	0:root	_
2	snap	snap	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
snap snap .,"1	snap	_	_	_	_	0	root	_	_
2	snap	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	snap	_	VERB	VB	_	0	root	_	_
2	snap	_	NOUN	NN	_	1	obj	_	_
3	.	_	PUNCT	.	_	1	punct	_	_","1	Snap	snap	NOUN	NN	_	0	root	0:root	_
2	snap	snap	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
choc choc .,"1	choc	_	_	_	_	0	root	_	_
2	choc	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	choc	_	NOUN	NN	_	2	compound	_	_
2	choc	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_",
snip snip .,"1	snip	_	_	_	_	0	root	_	_
2	snip	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	snip	_	NOUN	NN	_	2	compound	_	_
2	snip	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Snip	snip	NOUN	NN	_	0	root	0:root	_
2	snip	snip	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
help help .,"1	help	_	_	_	_	0	root	_	_
2	help	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	help	_	VERB	VB	_	0	root	_	_
2	help	_	VERB	VB	_	1	xcomp	_	_
3	.	_	PUNCT	.	_	1	punct	_	_","1	Help	help	NOUN	NN	_	0	root	0:root	_
2	help	help	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
poop poop .,"1	poop	_	_	_	_	0	root	_	_
2	poop	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	poop	_	NOUN	NN	_	2	compound	_	_
2	poop	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Poop	poop	NOUN	NN	_	0	root	0:root	_
2	poop	poop	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
poop poop .,"1	poop	_	_	_	_	0	root	_	_
2	poop	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	poop	_	NOUN	NN	_	2	compound	_	_
2	poop	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Poop	poop	NOUN	NN	_	0	root	0:root	_
2	poop	poop	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
help help .,"1	help	_	_	_	_	0	root	_	_
2	help	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	help	_	VERB	VB	_	0	root	_	_
2	help	_	VERB	VB	_	1	xcomp	_	_
3	.	_	PUNCT	.	_	1	punct	_	_","1	Help	help	NOUN	NN	_	0	root	0:root	_
2	help	help	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
poop poop .,"1	poop	_	_	_	_	0	root	_	_
2	poop	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	poop	_	NOUN	NN	_	2	compound	_	_
2	poop	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Poop	poop	NOUN	NN	_	0	root	0:root	_
2	poop	poop	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
poop poop .,"1	poop	_	_	_	_	0	root	_	_
2	poop	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	poop	_	NOUN	NN	_	2	compound	_	_
2	poop	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Poop	poop	NOUN	NN	_	0	root	0:root	_
2	poop	poop	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
poop poop .,"1	poop	_	_	_	_	0	root	_	_
2	poop	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	poop	_	NOUN	NN	_	2	compound	_	_
2	poop	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Poop	poop	NOUN	NN	_	0	root	0:root	_
2	poop	poop	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
poop poop .,"1	poop	_	_	_	_	0	root	_	_
2	poop	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	poop	_	NOUN	NN	_	2	compound	_	_
2	poop	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Poop	poop	NOUN	NN	_	0	root	0:root	_
2	poop	poop	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
help help .,"1	help	_	_	_	_	0	root	_	_
2	help	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	help	_	VERB	VB	_	0	root	_	_
2	help	_	VERB	VB	_	1	xcomp	_	_
3	.	_	PUNCT	.	_	1	punct	_	_","1	Help	help	NOUN	NN	_	0	root	0:root	_
2	help	help	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
poop poop poop poop .,"1	poop	_	_	_	_	0	root	_	_
2	poop	_	_	_	_	1	conj	_	_
3	poop	_	_	_	_	1	conj	_	_
4	poop	_	_	_	_	1	conj	_	_
5	.	_	_	_	_	1	punct	_	_","1	poop	_	NOUN	NN	_	4	compound	_	_
2	poop	_	NOUN	NN	_	4	compound	_	_
3	poop	_	NOUN	NN	_	4	compound	_	_
4	poop	_	NOUN	NN	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_","1	Poop	poop	NOUN	NN	_	0	root	0:root	_
2	poop	poop	NOUN	NN	_	1	conj	1:conj	_
3	poop	poop	NOUN	NN	_	1	conj	1:conj	_
4	poop	poop	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
5	.	.	PUNCT	.	_	1	punct	1:punct	_
"
poop poop .,"1	poop	_	_	_	_	0	root	_	_
2	poop	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	poop	_	NOUN	NN	_	2	compound	_	_
2	poop	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Poop	poop	NOUN	NN	_	0	root	0:root	_
2	poop	poop	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
poop poop .,"1	poop	_	_	_	_	0	root	_	_
2	poop	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	poop	_	NOUN	NN	_	2	compound	_	_
2	poop	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Poop	poop	NOUN	NN	_	0	root	0:root	_
2	poop	poop	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
Dadda chair .,"1	Dadda	_	_	_	_	2	nmod:poss	_	_
2	chair	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	Dadda	_	PROPN	NNP	_	2	compound	_	_
2	chair	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Dadda	Dadda	PROPN	NNP	_	2	nmod:poss	2:nmod:poss	_
2	chair	chair	NOUN	NN	_	0	root	0:root	SpaceAfter=No
3	.	.	PUNCT	.	_	2	punct	2:punct	_
"
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin .,"1	Nin	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
poop poop poop poop .,"1	poop	_	_	_	_	0	root	_	_
2	poop	_	_	_	_	1	conj	_	_
3	poop	_	_	_	_	1	conj	_	_
4	poop	_	_	_	_	1	conj	_	_
5	.	_	_	_	_	1	punct	_	_","1	poop	_	NOUN	NN	_	4	compound	_	_
2	poop	_	NOUN	NN	_	4	compound	_	_
3	poop	_	NOUN	NN	_	4	compound	_	_
4	poop	_	NOUN	NN	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_","1	Poop	poop	NOUN	NN	_	0	root	0:root	_
2	poop	poop	NOUN	NN	_	1	conj	1:conj	_
3	poop	poop	NOUN	NN	_	1	conj	1:conj	_
4	poop	poop	NOUN	NN	_	1	conj	1:conj	SpaceAfter=No
5	.	.	PUNCT	.	_	1	punct	1:punct	_
"
