Sentence,Supar_CDS,Stanza_off_the_shelf,Gold_annotation
oh there's my dumper truck over there .,"1	oh	_	_	_	_	2	discourse	_	_
2	there's	_	_	_	_	0	root	_	_
3	my	_	_	_	_	5	nmod:poss	_	_
4	dumper	_	_	_	_	5	compound	_	_
5	truck	_	_	_	_	2	nsubj	_	_
6	over	_	_	_	_	7	advmod	_	_
7	there	_	_	_	_	2	advmod	_	_
8	.	_	_	_	_	2	punct	_	_","1	oh	_	INTJ	UH	_	3	discourse	_	_
2	there	_	PRON	EX	_	3	expl	_	_
3	's	_	VERB	VBZ	_	0	root	_	_
4	my	_	PRON	PRP$	_	6	nmod:poss	_	_
5	dumper	_	NOUN	NN	_	6	compound	_	_
6	truck	_	NOUN	NN	_	3	nsubj	_	_
7	over	_	ADP	IN	_	8	case	_	_
8	there	_	ADV	RB	_	3	obl	_	_
9	.	_	PUNCT	.	_	3	punct	_	_",
silly Thomas .,"1	silly	_	_	_	_	2	amod	_	_
2	Thomas	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	silly	_	ADJ	JJ	_	0	root	_	_
2	Thomas	_	PROPN	NNP	_	1	vocative	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
"here you are , Mummy .","1	here	_	_	_	_	0	root	_	_
2	you	_	_	_	_	1	nsubj	_	_
3	are	_	_	_	_	1	cop	_	_
4	,	_	_	_	_	1	vocative	_	_
5	Mummy	_	_	_	_	1	vocative	_	_
6	.	_	_	_	_	1	punct	_	_","1	here	_	ADV	RB	_	0	root	_	_
2	you	_	PRON	PRP	_	5	nsubj	_	_
3	are	_	AUX	VBP	_	1	cop	_	_
4	,	_	PUNCT	,	_	5	punct	_	_
5	Mummy	_	PROPN	NNP	_	1	vocative	_	_
6	.	_	PUNCT	.	_	1	punct	_	_","1	Here	here	ADV	RB	_	0	root	0:root	_
2	you	you	PRON	PRP	_	1	nsubj	1:nsubj	_
3	are	be	AUX	VBP	_	1	cop	1:cop	_
4	Mummy	Mummy	PROPN	NNP	_	1	vocative	1:vocative	SpaceAfter=No
5	.	.	PUNCT	.	_	1	punct	1:punct	_
"
that's my favorite .,"1	that's	_	_	_	_	3	cop	_	_
2	my	_	_	_	_	3	nmod:poss	_	_
3	favorite	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	that	_	PRON	DT	_	4	nsubj	_	_
2	's	_	AUX	VBZ	_	4	cop	_	_
3	my	_	PRON	PRP$	_	4	nmod:poss	_	_
4	favorite	_	NOUN	NN	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
that's a match .,"1	that's	_	_	_	_	3	cop	_	_
2	a	_	_	_	_	3	det	_	_
3	match	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	that	_	PRON	DT	_	4	nsubj	_	_
2	's	_	AUX	VBZ	_	4	cop	_	_
3	a	_	DET	DT	_	4	det	_	_
4	match	_	NOUN	NN	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
it's a train .,"1	it's	_	_	_	_	3	cop	_	_
2	a	_	_	_	_	3	det	_	_
3	train	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	it	_	PRON	PRP	_	4	nsubj	_	_
2	's	_	AUX	VBZ	_	4	cop	_	_
3	a	_	DET	DT	_	4	det	_	_
4	train	_	NOUN	NN	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
it's a mail train .,"1	it's	_	_	_	_	4	cop	_	_
2	a	_	_	_	_	4	det	_	_
3	mail	_	_	_	_	4	compound	_	_
4	train	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	it	_	PRON	PRP	_	5	nsubj	_	_
2	's	_	AUX	VBZ	_	5	cop	_	_
3	a	_	DET	DT	_	5	det	_	_
4	mail	_	NOUN	NN	_	5	compound	_	_
5	train	_	NOUN	NN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
it's going the wrong way .,"1	it's	_	_	_	_	2	nsubj	_	_
2	going	_	_	_	_	0	root	_	_
3	the	_	_	_	_	5	det	_	_
4	wrong	_	_	_	_	5	amod	_	_
5	way	_	_	_	_	2	obj	_	_
6	.	_	_	_	_	2	punct	_	_","1	it	_	PRON	PRP	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	aux	_	_
3	going	_	VERB	VBG	_	0	root	_	_
4	the	_	DET	DT	_	6	det	_	_
5	wrong	_	ADJ	JJ	_	6	amod	_	_
6	way	_	NOUN	NN	_	3	obj	_	_
7	.	_	PUNCT	.	_	3	punct	_	_",
what about Daddy ?,"1	what	_	_	_	_	0	root	_	_
2	about	_	_	_	_	3	case	_	_
3	Daddy	_	_	_	_	1	nmod	_	_
4	?	_	_	_	_	1	punct	_	_","1	what	_	PRON	WP	_	0	root	_	_
2	about	_	ADP	IN	_	3	case	_	_
3	Daddy	_	PROPN	NNP	_	1	obl	_	_
4	?	_	PUNCT	.	_	1	punct	_	_","1	What	what	PRON	WP	_	0	root	0:root	_
2	about	about	ADP	IN	_	3	case	3:case	_
3	Daddy	Daddy	PROPN	NNP	_	1	nmod	1:nmod:about	SpaceAfter=No
4	?	?	PUNCT	.	_	1	punct	1:punct	_
"
where's that big brown red post box ?,"1	where's	_	_	_	_	0	root	_	_
2	that	_	_	_	_	7	det	_	_
3	big	_	_	_	_	7	amod	_	_
4	brown	_	_	_	_	7	amod	_	_
5	red	_	_	_	_	7	amod	_	_
6	post	_	_	_	_	7	compound	_	_
7	box	_	_	_	_	1	nsubj	_	_
8	?	_	_	_	_	1	punct	_	_","1	where	_	ADV	WRB	_	0	root	_	_
2	's	_	AUX	VBZ	_	1	cop	_	_
3	that	_	DET	DT	_	8	det	_	_
4	big	_	ADJ	JJ	_	8	amod	_	_
5	brown	_	ADJ	JJ	_	8	amod	_	_
6	red	_	ADJ	JJ	_	8	amod	_	_
7	post	_	NOUN	NN	_	8	compound	_	_
8	box	_	NOUN	NN	_	1	nsubj	_	_
9	?	_	PUNCT	.	_	1	punct	_	_",
"Mummy , you sing a thing .","1	Mummy	_	_	_	_	4	vocative	_	_
2	,	_	_	_	_	4	punct	_	_
3	you	_	_	_	_	4	nsubj	_	_
4	sing	_	_	_	_	0	root	_	_
5	a	_	_	_	_	6	det	_	_
6	thing	_	_	_	_	4	obj	_	_
7	.	_	_	_	_	4	punct	_	_","1	Mummy	_	NOUN	NN	_	4	vocative	_	_
2	,	_	PUNCT	,	_	1	punct	_	_
3	you	_	PRON	PRP	_	4	nsubj	_	_
4	sing	_	VERB	VBP	_	0	root	_	_
5	a	_	DET	DT	_	6	det	_	_
6	thing	_	NOUN	NN	_	4	obj	_	_
7	.	_	PUNCT	.	_	4	punct	_	_",
where's the little yellow bus ?,"1	where's	_	_	_	_	0	root	_	_
2	the	_	_	_	_	5	det	_	_
3	little	_	_	_	_	5	amod	_	_
4	yellow	_	_	_	_	5	amod	_	_
5	bus	_	_	_	_	1	nsubj	_	_
6	?	_	_	_	_	1	punct	_	_","1	where	_	ADV	WRB	_	0	root	_	_
2	's	_	AUX	VBZ	_	1	cop	_	_
3	the	_	DET	DT	_	6	det	_	_
4	little	_	ADJ	JJ	_	6	amod	_	_
5	yellow	_	ADJ	JJ	_	6	amod	_	_
6	bus	_	NOUN	NN	_	1	nsubj	_	_
7	?	_	PUNCT	.	_	1	punct	_	_",
what's it called ?,"1	what's	_	_	_	_	3	aux	_	_
2	it	_	_	_	_	3	nsubj:pass	_	_
3	called	_	_	_	_	0	root	_	_
4	?	_	_	_	_	3	punct	_	_","1	what	_	PRON	WP	_	4	nsubj:pass	_	_
2	's	_	AUX	VBZ	_	4	aux:pass	_	_
3	it	_	PRON	PRP	_	4	nsubj:pass	_	_
4	called	_	VERB	VBN	_	0	root	_	_
5	?	_	PUNCT	.	_	4	punct	_	_",
what's it called that yellow bus ?,"1	what's	_	_	_	_	3	aux	_	_
2	it	_	_	_	_	3	nsubj:pass	_	_
3	called	_	_	_	_	0	root	_	_
4	that	_	_	_	_	6	det	_	_
5	yellow	_	_	_	_	6	amod	_	_
6	bus	_	_	_	_	3	parataxis	_	_
7	?	_	_	_	_	3	punct	_	_","1	what	_	PRON	WP	_	4	nsubj:pass	_	_
2	's	_	AUX	VBZ	_	4	aux:pass	_	_
3	it	_	PRON	PRP	_	4	nsubj:pass	_	_
4	called	_	VERB	VBN	_	0	root	_	_
5	that	_	DET	DT	_	7	det	_	_
6	yellow	_	ADJ	JJ	_	7	amod	_	_
7	bus	_	NOUN	NN	_	4	xcomp	_	_
8	?	_	PUNCT	.	_	4	punct	_	_",
I'm going home now in my helicopter .,"1	I'm	_	_	_	_	2	nsubj	_	_
2	going	_	_	_	_	0	root	_	_
3	home	_	_	_	_	2	advmod	_	_
4	now	_	_	_	_	2	advmod	_	_
5	in	_	_	_	_	7	case	_	_
6	my	_	_	_	_	7	nmod:poss	_	_
7	helicopter	_	_	_	_	2	obl	_	_
8	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	'm	_	AUX	VBP	_	3	aux	_	_
3	going	_	VERB	VBG	_	0	root	_	_
4	home	_	ADV	RB	_	3	advmod	_	_
5	now	_	ADV	RB	_	3	advmod	_	_
6	in	_	ADP	IN	_	8	case	_	_
7	my	_	PRON	PRP$	_	8	nmod:poss	_	_
8	helicopter	_	NOUN	NN	_	3	obl	_	_
9	.	_	PUNCT	.	_	3	punct	_	_",
I'm cutting this .,"1	I'm	_	_	_	_	2	nsubj	_	_
2	cutting	_	_	_	_	0	root	_	_
3	this	_	_	_	_	2	obj	_	_
4	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	'm	_	AUX	VBP	_	3	aux	_	_
3	cutting	_	VERB	VBG	_	0	root	_	_
4	this	_	PRON	DT	_	3	obj	_	_
5	.	_	PUNCT	.	_	3	punct	_	_",
somebody's beer .,"1	somebody's	_	_	_	_	2	nmod:poss	_	_
2	beer	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	somebody	_	PRON	NN	_	3	nmod:poss	_	_
2	's	_	PART	POS	_	1	case	_	_
3	beer	_	NOUN	NN	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
oh God .,"1	oh	_	_	_	_	0	root	_	_
2	God	_	_	_	_	1	vocative	_	_
3	.	_	_	_	_	1	punct	_	_","1	oh	_	INTJ	UH	_	2	discourse	_	_
2	God	_	PROPN	NNP	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_",
it's dirty .,"1	it's	_	_	_	_	2	nsubj	_	_
2	dirty	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	it	_	PRON	PRP	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	cop	_	_
3	dirty	_	ADJ	JJ	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
and Mum said oh no no .,"1	and	_	_	_	_	3	cc	_	_
2	Mum	_	_	_	_	3	nsubj	_	_
3	said	_	_	_	_	0	root	_	_
4	oh	_	_	_	_	3	discourse	_	_
5	no	_	_	_	_	3	discourse	_	_
6	no	_	_	_	_	5	conj	_	_
7	.	_	_	_	_	3	punct	_	_","1	and	_	CCONJ	CC	_	3	cc	_	_
2	Mum	_	PROPN	NNP	_	3	nsubj	_	_
3	said	_	VERB	VBD	_	0	root	_	_
4	oh	_	INTJ	UH	_	3	discourse	_	_
5	no	_	INTJ	UH	_	3	discourse	_	_
6	no	_	INTJ	UH	_	3	discourse	_	_
7	.	_	PUNCT	.	_	3	punct	_	_",
it's mine .,"1	it's	_	_	_	_	2	nsubj	_	_
2	mine	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	it	_	PRON	PRP	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	cop	_	_
3	mine	_	PRON	PRP	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
it's the train driver .,"1	it's	_	_	_	_	4	nsubj	_	_
2	the	_	_	_	_	4	det	_	_
3	train	_	_	_	_	4	compound	_	_
4	driver	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	it	_	PRON	PRP	_	5	nsubj	_	_
2	's	_	AUX	VBZ	_	5	cop	_	_
3	the	_	DET	DT	_	5	det	_	_
4	train	_	NOUN	NN	_	5	compound	_	_
5	driver	_	NOUN	NN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
who's under this chair ?,"1	who's	_	_	_	_	4	nsubj	_	_
2	under	_	_	_	_	4	case	_	_
3	this	_	_	_	_	4	det	_	_
4	chair	_	_	_	_	0	root	_	_
5	?	_	_	_	_	4	punct	_	_","1	who	_	PRON	WP	_	5	nsubj	_	_
2	's	_	AUX	VBZ	_	5	cop	_	_
3	under	_	ADP	IN	_	5	case	_	_
4	this	_	DET	DT	_	5	det	_	_
5	chair	_	NOUN	NN	_	0	root	_	_
6	?	_	PUNCT	.	_	5	punct	_	_",
you're cheeky Mummy .,"1	you're	_	_	_	_	2	nsubj	_	_
2	cheeky	_	_	_	_	0	root	_	_
3	Mummy	_	_	_	_	2	vocative	_	_
4	.	_	_	_	_	2	punct	_	_","1	you	_	PRON	PRP	_	4	nsubj	_	_
2	're	_	AUX	VBP	_	4	cop	_	_
3	cheeky	_	ADJ	JJ	_	4	amod	_	_
4	Mummy	_	PROPN	NNP	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
where's the train ?,"1	where's	_	_	_	_	0	root	_	_
2	the	_	_	_	_	3	det	_	_
3	train	_	_	_	_	1	nsubj	_	_
4	?	_	_	_	_	1	punct	_	_","1	where	_	ADV	WRB	_	0	root	_	_
2	's	_	AUX	VBZ	_	1	cop	_	_
3	the	_	DET	DT	_	4	det	_	_
4	train	_	NOUN	NN	_	1	nsubj	_	_
5	?	_	PUNCT	.	_	1	punct	_	_",
oh that's the car .,"1	oh	_	_	_	_	4	discourse	_	_
2	that's	_	_	_	_	4	cop	_	_
3	the	_	_	_	_	4	det	_	_
4	car	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	oh	_	INTJ	UH	_	5	discourse	_	_
2	that	_	PRON	DT	_	5	nsubj	_	_
3	's	_	AUX	VBZ	_	5	cop	_	_
4	the	_	DET	DT	_	5	det	_	_
5	car	_	NOUN	NN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
that's mine .,"1	that's	_	_	_	_	2	nsubj	_	_
2	mine	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	that	_	PRON	DT	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	cop	_	_
3	mine	_	PRON	PRP	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
that's mine .,"1	that's	_	_	_	_	2	nsubj	_	_
2	mine	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	that	_	PRON	DT	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	cop	_	_
3	mine	_	PRON	PRP	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
there's a fireman in there .,"1	there's	_	_	_	_	3	expl	_	_
2	a	_	_	_	_	3	det	_	_
3	fireman	_	_	_	_	0	root	_	_
4	in	_	_	_	_	5	case	_	_
5	there	_	_	_	_	3	advmod	_	_
6	.	_	_	_	_	3	punct	_	_","1	there	_	PRON	EX	_	2	expl	_	_
2	's	_	VERB	VBZ	_	0	root	_	_
3	a	_	DET	DT	_	4	det	_	_
4	fireman	_	NOUN	NN	_	2	nsubj	_	_
5	in	_	ADP	IN	_	6	case	_	_
6	there	_	ADV	RB	_	2	obl	_	_
7	.	_	PUNCT	.	_	2	punct	_	_",
"thanks , Mummy .","1	thanks	_	_	_	_	0	root	_	_
2	,	_	_	_	_	1	punct	_	_
3	Mummy	_	_	_	_	1	vocative	_	_
4	.	_	_	_	_	1	punct	_	_","1	thanks	_	NOUN	NN	_	0	root	_	_
2	,	_	PUNCT	,	_	3	punct	_	_
3	Mummy	_	PROPN	NNP	_	1	vocative	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
tea uh tea .,"1	tea	_	_	_	_	0	root	_	_
2	uh	_	_	_	_	3	discourse	_	_
3	tea	_	_	_	_	1	conj	_	_
4	.	_	_	_	_	1	punct	_	_","1	tea	_	NOUN	NN	_	3	compound	_	_
2	uh	_	INTJ	UH	_	3	discourse	_	_
3	tea	_	NOUN	NN	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
uh no no .,"1	uh	_	_	_	_	2	compound	_	_
2	no	_	_	_	_	0	root	_	_
3	no	_	_	_	_	2	conj	_	_
4	.	_	_	_	_	2	punct	_	_","1	uh	_	INTJ	UH	_	2	discourse	_	_
2	no	_	INTJ	UH	_	0	root	_	_
3	no	_	INTJ	UH	_	2	discourse	_	_
4	.	_	PUNCT	.	_	2	punct	_	_",
that's that's a fireman .,"1	that's	_	_	_	_	4	reparandum	_	_
2	that's	_	_	_	_	4	nsubj	_	_
3	a	_	_	_	_	4	det	_	_
4	fireman	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	that	_	PRON	DT	_	6	nsubj	_	_
2	's	_	AUX	VBZ	_	6	cop	_	_
3	that	_	PRON	DT	_	6	nsubj	_	_
4	's	_	AUX	VBZ	_	6	cop	_	_
5	a	_	DET	DT	_	6	det	_	_
6	fireman	_	NOUN	NN	_	0	root	_	_
7	.	_	PUNCT	.	_	6	punct	_	_",
that's a fireman .,"1	that's	_	_	_	_	3	nsubj	_	_
2	a	_	_	_	_	3	det	_	_
3	fireman	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	that	_	PRON	DT	_	4	nsubj	_	_
2	's	_	AUX	VBZ	_	4	cop	_	_
3	a	_	DET	DT	_	4	det	_	_
4	fireman	_	NOUN	NN	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
you're being naughty .,"1	you're	_	_	_	_	3	nsubj	_	_
2	being	_	_	_	_	3	cop	_	_
3	naughty	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	you	_	PRON	PRP	_	4	nsubj	_	_
2	're	_	AUX	VBP	_	4	aux	_	_
3	being	_	AUX	VBG	_	4	cop	_	_
4	naughty	_	ADJ	JJ	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
here you are .,"1	here	_	_	_	_	0	root	_	_
2	you	_	_	_	_	1	nsubj	_	_
3	are	_	_	_	_	1	cop	_	_
4	.	_	_	_	_	1	punct	_	_","1	here	_	ADV	RB	_	0	root	_	_
2	you	_	PRON	PRP	_	3	nsubj	_	_
3	are	_	AUX	VBP	_	1	cop	_	_
4	.	_	PUNCT	.	_	1	punct	_	_","1	Here	here	ADV	RB	_	0	root	0:root	_
2	you	you	PRON	PRP	_	1	nsubj	1:nsubj	_
3	are	be	AUX	VBP	_	1	cop	1:cop	SpaceAfter=No
4	.	.	PUNCT	.	_	1	punct	1:punct	_
"
"another cuddle , Aunty Dipsy .","1	another	_	_	_	_	2	det	_	_
2	cuddle	_	_	_	_	0	root	_	_
3	,	_	_	_	_	2	vocative	_	_
4	Aunty	_	_	_	_	2	vocative	_	_
5	Dipsy	_	_	_	_	4	flat	_	_
6	.	_	_	_	_	2	punct	_	_","1	another	_	DET	DT	_	2	det	_	_
2	cuddle	_	NOUN	NN	_	0	root	_	_
3	,	_	PUNCT	,	_	4	punct	_	_
4	Aunty	_	PROPN	NNP	_	2	appos	_	_
5	Dipsy	_	PROPN	NNP	_	4	flat	_	_
6	.	_	PUNCT	.	_	2	punct	_	_",
it's very dark in there .,"1	it's	_	_	_	_	3	cop	_	_
2	very	_	_	_	_	3	advmod	_	_
3	dark	_	_	_	_	0	root	_	_
4	in	_	_	_	_	5	case	_	_
5	there	_	_	_	_	3	obl	_	_
6	.	_	_	_	_	3	punct	_	_","1	it	_	PRON	PRP	_	4	nsubj	_	_
2	's	_	AUX	VBZ	_	4	cop	_	_
3	very	_	ADV	RB	_	4	advmod	_	_
4	dark	_	ADJ	JJ	_	0	root	_	_
5	in	_	ADP	IN	_	6	case	_	_
6	there	_	ADV	RB	_	4	obl	_	_
7	.	_	PUNCT	.	_	4	punct	_	_",
Isabel's party .,"1	Isabel's	_	_	_	_	2	nmod:poss	_	_
2	party	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	Isabel	_	PROPN	NNP	_	3	nmod:poss	_	_
2	's	_	PART	POS	_	1	case	_	_
3	party	_	NOUN	NN	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
it's orange now .,"1	it's	_	_	_	_	2	cop	_	_
2	orange	_	_	_	_	0	root	_	_
3	now	_	_	_	_	2	advmod	_	_
4	.	_	_	_	_	2	punct	_	_","1	it	_	PRON	PRP	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	cop	_	_
3	orange	_	ADJ	JJ	_	0	root	_	_
4	now	_	ADV	RB	_	3	advmod	_	_
5	.	_	PUNCT	.	_	3	punct	_	_",
it's orange .,"1	it's	_	_	_	_	2	cop	_	_
2	orange	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	it	_	PRON	PRP	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	cop	_	_
3	orange	_	ADJ	JJ	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
