# sentence: Thomas what 's the matter what 's the matter ?
Gold: token=Thomas, upos=PROPN, xpos=NNP, head=5, label=vocative
Gold: token=that, upos=PRON, xpos=DT, head=6, label=nsubj
Pred: token=that, upos=PRON, xpos=DT, head=6, label=nsubj
Gold: token=was, upos=AUX, xpos=VBD, head=6, label=cop
Pred: token=was, upos=AUX, xpos=VBD, head=6, label=cop
Gold: token=a, upos=DET, xpos=DT, head=6, label=det
Pred: token=a, upos=DET, xpos=DT, head=6, label=det
Gold: token=nice, upos=ADJ, xpos=JJ, head=6, label=amod
Pred: token=nice, upos=ADJ, xpos=JJ, head=6, label=amod
Gold: token=squeal, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=squeal, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=Thomas, upos=PROPN, xpos=NNP, head=6, label=vocative
Pred: token=Thomas, upos=PROPN, xpos=NNP, head=6, label=flat
Gold: token=., upos=PUNCT, xpos=., head=6, label=punct
Pred: token=., upos=PUNCT, xpos=., head=6, label=punct
------------------------------------------------------------

# sentence: No more juice .
Gold: token=No, upos=DET, xpos=DT, head=2, label=advmod
Pred: token=No, upos=DET, xpos=DT, head=3, label=det
Gold: token=more, upos=ADJ, xpos=JJR, head=3, label=amod
Pred: token=more, upos=ADJ, xpos=JJR, head=3, label=amod
Gold: token=juice, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=juice, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=3, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: Wow juice .
Gold: token=Wow, upos=INTJ, xpos=UH, head=2, label=intj
Pred: token=Wow, upos=INTJ, xpos=UH, head=2, label=discourse
Gold: token=juice, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=juice, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: Was there shoe it .
Gold: token=Was, upos=VERB, xpos=VBD, head=0, label=root
Pred: token=Was, upos=AUX, xpos=VBD, head=0, label=root
Gold: token=there, upos=PRON, xpos=PRP$, head=1, label=expl
Pred: token=there, upos=PRON, xpos=EX, head=1, label=expl
Gold: token=shoe, upos=NOUN, xpos=NN, head=1, label=nsubj
Pred: token=shoe, upos=NOUN, xpos=NN, head=1, label=nsubj
Gold: token=it, upos=PRON, xpos=PRP, head=1, label=parataxis
Pred: token=it, upos=PRON, xpos=PRP, head=1, label=nsubj
Gold: token=., upos=PUNCT, xpos=., head=1, label=punct
Pred: token=., upos=PUNCT, xpos=., head=1, label=punct
------------------------------------------------------------

# sentence: It has just gone eight o'clock on Wednesday morning .
Gold: token=It, upos=PRON, xpos=PRP, head=4, label=nsubj
Pred: token=It, upos=PRON, xpos=PRP, head=4, label=nsubj
Gold: token=has, upos=AUX, xpos=VBZ, head=4, label=aux
Pred: token=has, upos=AUX, xpos=VBZ, head=4, label=aux
Gold: token=just, upos=ADV, xpos=RB, head=4, label=advmod
Pred: token=just, upos=ADV, xpos=RB, head=4, label=advmod
Gold: token=gone, upos=VERB, xpos=VBN, head=0, label=root
Pred: token=gone, upos=VERB, xpos=VBN, head=0, label=root
Gold: token=eight, upos=NUM, xpos=CD, head=6, label=nummod
Pred: token=eight, upos=NUM, xpos=CD, head=6, label=nummod
Gold: token=o'clock, upos=NOUN, xpos=NNS, head=4, label=obj
Pred: token=o'clock, upos=NOUN, xpos=NN, head=4, label=obl:tmod
Gold: token=on, upos=ADP, xpos=IN, head=9, label=case
Pred: token=on, upos=ADP, xpos=IN, head=9, label=case
Gold: token=Wednesday, upos=PROPN, xpos=NNP, head=9, label=compound
Pred: token=Wednesday, upos=PROPN, xpos=NNP, head=9, label=compound
Gold: token=morning, upos=NOUN, xpos=NN, head=4, label=obl
Pred: token=morning, upos=NOUN, xpos=NN, head=4, label=nmod:tmod
Gold: token=., upos=PUNCT, xpos=., head=4, label=punct
Pred: token=., upos=PUNCT, xpos=., head=4, label=punct
------------------------------------------------------------

# sentence: What 's dis ?
Gold: token=What, upos=PRON, xpos=WP, head=0, label=root
Pred: token=What, upos=PRON, xpos=WP, head=0, label=root
Gold: token='s, upos=AUX, xpos=VBZ, head=1, label=cop
Pred: token='s, upos=AUX, xpos=VBZ, head=1, label=cop
Gold: token=dis, upos=NOUN, xpos=NN, head=1, label=nsubj
Pred: token=dis, upos=PRON, xpos=., head=1, label=nsubj
Gold: token=?, upos=PUNCT, xpos=?, head=1, label=punct
Pred: token=?, upos=PUNCT, xpos=?, head=1, label=punct
------------------------------------------------------------

# sentence: Alright Thomas let 's put your shoes and socks on .
Gold: token=Alright, upos=INTJ, xpos=UH, head=3, label=intj
Pred: token=Alright, upos=INTJ, xpos=UH, head=3, label=discourse
Gold: token=Thomas, upos=PROPN, xpos=NNP, head=3, label=vocative
Pred: token=Thomas, upos=PROPN, xpos=NNP, head=3, label=vocative
Gold: token=let, upos=VERB, xpos=VB, head=0, label=root
Pred: token=let, upos=VERB, xpos=VB, head=0, label=root
Gold: token='s, upos=PRON, xpos=PRP, head=3, label=obj
Pred: token='s, upos=PRON, xpos=PRP, head=3, label=obj
Gold: token=put, upos=VERB, xpos=VB, head=3, label=xcomp
Pred: token=put, upos=VERB, xpos=VB, head=3, label=xcomp
Gold: token=your, upos=PRON, xpos=PRP$, head=7, label=poss
Pred: token=your, upos=PRON, xpos=PRP$, head=7, label=poss
Gold: token=shoes, upos=NOUN, xpos=NNS, head=5, label=obj
Pred: token=shoes, upos=NOUN, xpos=NNS, head=5, label=obj
Gold: token=and, upos=CCONJ, xpos=CC, head=9, label=cc
Pred: token=and, upos=CCONJ, xpos=CC, head=9, label=cc
Gold: token=socks, upos=NOUN, xpos=NNS, head=7, label=conj
Pred: token=socks, upos=NOUN, xpos=NNS, head=7, label=conj
Gold: token=on, upos=ADV, xpos=RB, head=5, label=prt
Pred: token=on, upos=ADV, xpos=RB, head=5, label=prt
Gold: token=., upos=PUNCT, xpos=., head=3, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: Um there shoes .
Gold: token=Um, upos=INTJ, xpos=UH, head=3, label=intj
Pred: token=Um, upos=INTJ, xpos=UH, head=3, label=discourse
Gold: token=there, upos=ADV, xpos=RB, head=3, label=advmod
Pred: token=there, upos=PRON, xpos=PRP$, head=3, label=expl
Gold: token=shoes, upos=NOUN, xpos=NNS, head=0, label=root
Pred: token=shoes, upos=NOUN, xpos=NNS, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=3, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: Come on sweetheart .
Gold: token=Come, upos=VERB, xpos=VB, head=0, label=root
Pred: token=Come, upos=VERB, xpos=VB, head=0, label=root
Gold: token=on, upos=ADV, xpos=RB, head=1, label=advmod
Pred: token=on, upos=ADP, xpos=IN, head=1, label=prt
Gold: token=sweetheart, upos=NOUN, xpos=NN, head=1, label=vocative
Pred: token=sweetheart, upos=NOUN, xpos=NN, head=1, label=vocative
Gold: token=., upos=PUNCT, xpos=., head=1, label=punct
Pred: token=., upos=PUNCT, xpos=., head=1, label=punct
------------------------------------------------------------

# sentence: Mummy 's pouring a drop of water in just to dilute it down .
Gold: token=Mummy, upos=PROPN, xpos=NNP, head=3, label=nsubj
Pred: token=Mummy, upos=PROPN, xpos=NNP, head=3, label=nsubj
Gold: token='s, upos=AUX, xpos=VBZ, head=3, label=aux
Pred: token='s, upos=AUX, xpos=VBZ, head=3, label=aux
Gold: token=pouring, upos=VERB, xpos=VBG, head=0, label=root
Pred: token=pouring, upos=VERB, xpos=VBG, head=0, label=root
Gold: token=a, upos=DET, xpos=DT, head=5, label=det
Pred: token=a, upos=DET, xpos=DT, head=5, label=det
Gold: token=drop, upos=NOUN, xpos=NN, head=3, label=obj
Pred: token=drop, upos=NOUN, xpos=NN, head=3, label=obj
Gold: token=of, upos=ADP, xpos=IN, head=7, label=case
Pred: token=of, upos=ADP, xpos=IN, head=7, label=case
Gold: token=water, upos=NOUN, xpos=NN, head=5, label=nmod
Pred: token=water, upos=NOUN, xpos=NN, head=5, label=nmod
Gold: token=in, upos=ADV, xpos=RB, head=3, label=advmod
Pred: token=in, upos=ADV, xpos=RB, head=3, label=advmod
Gold: token=just, upos=ADV, xpos=RB, head=11, label=advmod
Pred: token=just, upos=ADV, xpos=RB, head=11, label=advmod
Gold: token=to, upos=PART, xpos=TO, head=11, label=mark
Pred: token=to, upos=PART, xpos=TO, head=11, label=mark
Gold: token=dilute, upos=VERB, xpos=VB, head=3, label=advcl
Pred: token=dilute, upos=VERB, xpos=VB, head=3, label=advcl
Gold: token=it, upos=PRON, xpos=PRP, head=11, label=obj
Pred: token=it, upos=PRON, xpos=PRP, head=11, label=obj
Gold: token=down, upos=ADV, xpos=RB, head=11, label=advmod
Pred: token=down, upos=ADP, xpos=RP, head=11, label=prt
Gold: token=., upos=PUNCT, xpos=., head=3, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: What 's da ?
Gold: token=What, upos=PRON, xpos=WP, head=0, label=root
Pred: token=What, upos=PRON, xpos=WP, head=0, label=root
Gold: token='s, upos=AUX, xpos=VBZ, head=1, label=cop
Pred: token='s, upos=AUX, xpos=VBZ, head=1, label=cop
Gold: token=da, upos=NOUN, xpos=NN, head=1, label=nsubj
Pred: token=da, upos=PROPN, xpos=NNP, head=1, label=nsubj
Gold: token=?, upos=PUNCT, xpos=?, head=1, label=punct
Pred: token=?, upos=PUNCT, xpos=?, head=1, label=punct
------------------------------------------------------------

# sentence: The noise in the background is the kettle boiling so Mummy can make herself a cup of tea .
Gold: token=The, upos=DET, xpos=DT, head=2, label=det
Pred: token=The, upos=DET, xpos=DT, head=2, label=det
Gold: token=noise, upos=NOUN, xpos=NN, head=8, label=nsubj
Pred: token=noise, upos=NOUN, xpos=NN, head=9, label=nsubj
Gold: token=in, upos=ADP, xpos=IN, head=5, label=case
Pred: token=in, upos=ADP, xpos=IN, head=5, label=case
Gold: token=the, upos=DET, xpos=DT, head=5, label=det
Pred: token=the, upos=DET, xpos=DT, head=5, label=det
Gold: token=background, upos=NOUN, xpos=NN, head=2, label=nmod
Pred: token=background, upos=NOUN, xpos=NN, head=2, label=nmod
Gold: token=is, upos=AUX, xpos=VBZ, head=8, label=cop
Pred: token=is, upos=AUX, xpos=VBZ, head=9, label=cop
Gold: token=the, upos=DET, xpos=DT, head=8, label=det
Pred: token=the, upos=DET, xpos=DT, head=9, label=det
Gold: token=kettle, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=kettle, upos=NOUN, xpos=NN, head=9, label=compound
Gold: token=boiling, upos=NOUN, xpos=NN, head=8, label=acl
Pred: token=boiling, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=so, upos=ADV, xpos=RB, head=13, label=mark
Pred: token=so, upos=ADV, xpos=RB, head=13, label=mark
Gold: token=Mummy, upos=PROPN, xpos=NNP, head=13, label=nsubj
Pred: token=Mummy, upos=PROPN, xpos=NNP, head=13, label=nsubj
Gold: token=can, upos=AUX, xpos=MD, head=13, label=aux
Pred: token=can, upos=AUX, xpos=MD, head=13, label=aux
Gold: token=make, upos=VERB, xpos=VB, head=8, label=advcl
Pred: token=make, upos=VERB, xpos=VB, head=9, label=advcl
Gold: token=herself, upos=PRON, xpos=PRP, head=13, label=iobj
Pred: token=herself, upos=PRON, xpos=PRP, head=13, label=obj
Gold: token=a, upos=DET, xpos=DT, head=16, label=det
Pred: token=a, upos=DET, xpos=DT, head=16, label=det
Gold: token=cup, upos=NOUN, xpos=NN, head=13, label=obj
Pred: token=cup, upos=NOUN, xpos=NN, head=13, label=obj
Gold: token=of, upos=ADP, xpos=IN, head=18, label=case
Pred: token=of, upos=ADP, xpos=IN, head=18, label=case
Gold: token=tea, upos=NOUN, xpos=NN, head=16, label=nmod
Pred: token=tea, upos=NOUN, xpos=NN, head=16, label=nmod
Gold: token=., upos=PUNCT, xpos=., head=8, label=punct
Pred: token=., upos=PUNCT, xpos=., head=9, label=punct
------------------------------------------------------------

# sentence: Dadda Dadda 's shoes .
Gold: token=Dadda, upos=PROPN, xpos=NNP, head=2, label=reparandum
Pred: token=Dadda, upos=PROPN, xpos=NNP, head=4, label=poss
Gold: token=Dadda, upos=PROPN, xpos=NNP, head=4, label=poss
Pred: token=Dadda, upos=PROPN, xpos=NNP, head=4, label=poss
Gold: token='s, upos=PART, xpos=POS, head=2, label=case
Pred: token='s, upos=PART, xpos=POS, head=2, label=case
Gold: token=shoes, upos=NOUN, xpos=NNS, head=0, label=root
Pred: token=shoes, upos=NOUN, xpos=NNS, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=4, label=punct
Pred: token=., upos=PUNCT, xpos=., head=4, label=punct
------------------------------------------------------------

# sentence: Mummy needs to clean Thomas 's shoes because we are going out this afternoon .
Gold: token=Mummy, upos=NOUN, xpos=NN, head=2, label=nsubj
Pred: token=Mummy, upos=PROPN, xpos=NNP, head=2, label=nsubj
Gold: token=needs, upos=VERB, xpos=VBZ, head=0, label=root
Pred: token=needs, upos=VERB, xpos=VBZ, head=0, label=root
Gold: token=to, upos=PART, xpos=TO, head=4, label=mark
Pred: token=to, upos=PART, xpos=TO, head=4, label=mark
Gold: token=clean, upos=VERB, xpos=VB, head=2, label=xcomp
Pred: token=clean, upos=VERB, xpos=VB, head=2, label=xcomp
Gold: token=Thomas, upos=PROPN, xpos=NNP, head=7, label=poss
Pred: token=Thomas, upos=PROPN, xpos=NNP, head=7, label=poss
Gold: token='s, upos=PART, xpos=POS, head=5, label=case
Pred: token='s, upos=PART, xpos=POS, head=5, label=case
Gold: token=shoes, upos=NOUN, xpos=NNS, head=4, label=obj
Pred: token=shoes, upos=NOUN, xpos=NNS, head=4, label=obj
Gold: token=because, upos=SCONJ, xpos=IN, head=11, label=mark
Pred: token=because, upos=SCONJ, xpos=IN, head=11, label=mark
Gold: token=we, upos=PRON, xpos=PRP, head=11, label=nsubj
Pred: token=we, upos=PRON, xpos=PRP, head=11, label=nsubj
Gold: token=are, upos=AUX, xpos=VBP, head=11, label=aux
Pred: token=are, upos=AUX, xpos=VBP, head=11, label=aux
Gold: token=going, upos=VERB, xpos=VBG, head=4, label=advcl
Pred: token=going, upos=VERB, xpos=VBG, head=4, label=advcl
Gold: token=out, upos=ADP, xpos=RP, head=11, label=prt
Pred: token=out, upos=ADV, xpos=RB, head=11, label=advmod
Gold: token=this, upos=DET, xpos=DT, head=14, label=det
Pred: token=this, upos=DET, xpos=DT, head=14, label=det
Gold: token=afternoon, upos=NOUN, xpos=NN, head=11, label=obl:tmod
Pred: token=afternoon, upos=NOUN, xpos=NN, head=11, label=obl:tmod
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: What 's that Thomas ?
Gold: token=What, upos=PRON, xpos=WP, head=0, label=root
Pred: token=What, upos=PRON, xpos=WP, head=0, label=root
Gold: token='s, upos=AUX, xpos=VBZ, head=1, label=cop
Pred: token='s, upos=AUX, xpos=VBZ, head=1, label=cop
Gold: token=that, upos=PRON, xpos=DT, head=1, label=nsubj
Pred: token=that, upos=PRON, xpos=DT, head=1, label=nsubj
Gold: token=Thomas, upos=PROPN, xpos=NNP, head=1, label=vocative
Pred: token=Thomas, upos=PROPN, xpos=NNP, head=3, label=flat
Gold: token=?, upos=PUNCT, xpos=?, head=1, label=punct
Pred: token=?, upos=PUNCT, xpos=?, head=1, label=punct
------------------------------------------------------------

# sentence: Ah I can see it .
Gold: token=Ah, upos=INTJ, xpos=UH, head=4, label=intj
Pred: token=Ah, upos=INTJ, xpos=UH, head=4, label=discourse
Gold: token=I, upos=PRON, xpos=PRP, head=4, label=nsubj
Pred: token=I, upos=PRON, xpos=PRP, head=4, label=nsubj
Gold: token=can, upos=AUX, xpos=MD, head=4, label=aux
Pred: token=can, upos=AUX, xpos=MD, head=4, label=aux
Gold: token=see, upos=VERB, xpos=VB, head=0, label=root
Pred: token=see, upos=VERB, xpos=VB, head=0, label=root
Gold: token=it, upos=PRON, xpos=PRP, head=4, label=obj
Pred: token=it, upos=PRON, xpos=PRP, head=4, label=obj
Gold: token=., upos=PUNCT, xpos=., head=4, label=punct
Pred: token=., upos=PUNCT, xpos=., head=4, label=punct
------------------------------------------------------------

# sentence: Right socks on .
Gold: token=Right, upos=ADJ, xpos=JJ, head=2, label=discourse
Pred: token=Right, upos=ADJ, xpos=JJ, head=2, label=amod
Gold: token=socks, upos=NOUN, xpos=NNS, head=0, label=root
Pred: token=socks, upos=NOUN, xpos=NNS, head=0, label=root
Gold: token=on, upos=ADV, xpos=RB, head=2, label=advmod
Pred: token=on, upos=ADV, xpos=RB, head=2, label=advmod
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: How many balloons are there ?
Gold: token=How, upos=ADV, xpos=WRB, head=2, label=advmod
Pred: token=How, upos=ADV, xpos=WRB, head=2, label=advmod
Gold: token=many, upos=ADJ, xpos=JJ, head=3, label=amod
Pred: token=many, upos=DET, xpos=JJ, head=3, label=det
Gold: token=balloons, upos=NOUN, xpos=NNS, head=4, label=nsubj:outer
Pred: token=balloons, upos=NOUN, xpos=NNS, head=4, label=nsubj:outer
Gold: token=are, upos=AUX, xpos=VBP, head=0, label=root
Pred: token=are, upos=AUX, xpos=VBP, head=0, label=root
Gold: token=there, upos=PRON, xpos=EX, head=4, label=expl
Pred: token=there, upos=ADV, xpos=RB, head=4, label=advmod
Gold: token=?, upos=PUNCT, xpos=?, head=4, label=punct
Pred: token=?, upos=PUNCT, xpos=?, head=4, label=punct
------------------------------------------------------------

# sentence: Oh they 're my shoes .
Gold: token=Oh, upos=INTJ, xpos=UH, head=5, label=intj
Pred: token=Oh, upos=INTJ, xpos=UH, head=5, label=discourse
Gold: token=they, upos=PRON, xpos=PRP, head=5, label=nsubj
Pred: token=they, upos=PRON, xpos=PRP, head=5, label=nsubj
Gold: token='re, upos=AUX, xpos=VBP, head=5, label=cop
Pred: token='re, upos=AUX, xpos=VBP, head=5, label=cop
Gold: token=my, upos=PRON, xpos=PRP$, head=5, label=poss
Pred: token=my, upos=PRON, xpos=PRP$, head=5, label=poss
Gold: token=shoes, upos=NOUN, xpos=NNS, head=0, label=root
Pred: token=shoes, upos=NOUN, xpos=NNS, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=5, label=punct
Pred: token=., upos=PUNCT, xpos=., head=5, label=punct
------------------------------------------------------------

# sentence: Two balloons I can count four .
Gold: token=Two, upos=NUM, xpos=CD, head=2, label=nummod
Pred: token=Two, upos=NUM, xpos=CD, head=2, label=nummod
Gold: token=balloons, upos=NOUN, xpos=NNS, head=0, label=root
Pred: token=balloons, upos=NOUN, xpos=NNS, head=0, label=root
Gold: token=I, upos=PRON, xpos=PRP, head=5, label=nsubj
Pred: token=I, upos=PRON, xpos=PRP, head=5, label=nsubj
Gold: token=can, upos=AUX, xpos=MD, head=5, label=aux
Pred: token=can, upos=AUX, xpos=MD, head=5, label=aux
Gold: token=count, upos=VERB, xpos=VB, head=2, label=parataxis
Pred: token=count, upos=VERB, xpos=VB, head=2, label=relcl
Gold: token=four, upos=NUM, xpos=CD, head=5, label=obj
Pred: token=four, upos=NUM, xpos=CD, head=5, label=obj
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: What 's dis here ?
Gold: token=What, upos=PRON, xpos=WP, head=0, label=root
Pred: token=What, upos=PRON, xpos=WP, head=0, label=root
Gold: token='s, upos=AUX, xpos=VBZ, head=1, label=cop
Pred: token='s, upos=AUX, xpos=VBZ, head=1, label=cop
Gold: token=dis, upos=PRON, xpos=PRP, head=1, label=nsubj
Pred: token=dis, upos=PRON, xpos=PRP, head=1, label=nsubj
Gold: token=here, upos=ADV, xpos=RB, head=3, label=advmod
Pred: token=here, upos=ADV, xpos=RB, head=1, label=advmod
Gold: token=?, upos=PUNCT, xpos=?, head=1, label=punct
Pred: token=?, upos=PUNCT, xpos=?, head=1, label=punct
------------------------------------------------------------

# sentence: Who 's this on this balloon ?
Gold: token=Who, upos=PRON, xpos=WP, head=3, label=nsubj
Pred: token=Who, upos=PRON, xpos=WP, head=0, label=root
Gold: token='s, upos=AUX, xpos=VBZ, head=3, label=cop
Pred: token='s, upos=AUX, xpos=VBZ, head=1, label=cop
Gold: token=this, upos=PRON, xpos=DT, head=0, label=root
Pred: token=this, upos=PRON, xpos=DT, head=1, label=nsubj
Gold: token=on, upos=ADP, xpos=IN, head=6, label=case
Pred: token=on, upos=ADP, xpos=IN, head=6, label=case
Gold: token=this, upos=DET, xpos=DT, head=6, label=det
Pred: token=this, upos=DET, xpos=DT, head=6, label=det
Gold: token=balloon, upos=NOUN, xpos=NN, head=3, label=nmod
Pred: token=balloon, upos=NOUN, xpos=NN, head=3, label=nmod
Gold: token=?, upos=PUNCT, xpos=?, head=3, label=punct
Pred: token=?, upos=PUNCT, xpos=?, head=1, label=punct
------------------------------------------------------------

# sentence: A Po .
Gold: token=A, upos=DET, xpos=DT, head=2, label=det
Pred: token=A, upos=DET, xpos=DT, head=2, label=det
Gold: token=Po, upos=PROPN, xpos=NNP, head=0, label=root
Pred: token=Po, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: A this .
Gold: token=A, upos=DET, xpos=DT, head=2, label=discourse
Pred: token=A, upos=DET, xpos=DT, head=2, label=det
Gold: token=this, upos=PRON, xpos=DT, head=0, label=root
Pred: token=this, upos=PRON, xpos=DT, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=2, label=punct
------------------------------------------------------------

# sentence: Now which one 's that ?
Gold: token=Now, upos=ADV, xpos=RB, head=3, label=advmod
Pred: token=Now, upos=ADV, xpos=RB, head=5, label=advmod
Gold: token=which, upos=DET, xpos=WDT, head=3, label=det
Pred: token=which, upos=DET, xpos=WDT, head=3, label=det
Gold: token=one, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=one, upos=NOUN, xpos=NN, head=5, label=nsubj
Gold: token='s, upos=AUX, xpos=VBZ, head=3, label=cop
Pred: token='s, upos=AUX, xpos=VBZ, head=5, label=cop
Gold: token=that, upos=PRON, xpos=DT, head=3, label=nsubj
Pred: token=that, upos=PRON, xpos=DT, head=0, label=root
Gold: token=?, upos=PUNCT, xpos=?, head=3, label=punct
Pred: token=?, upos=PUNCT, xpos=?, head=5, label=punct
------------------------------------------------------------

# sentence: Where 's James on the book ?
Gold: token=Where, upos=ADV, xpos=WRB, head=0, label=root
Pred: token=Where, upos=ADV, xpos=WRB, head=0, label=root
Gold: token='s, upos=AUX, xpos=VBZ, head=1, label=cop
Pred: token='s, upos=AUX, xpos=VBZ, head=1, label=cop
Gold: token=James, upos=PROPN, xpos=NNP, head=1, label=nsubj
Pred: token=James, upos=PROPN, xpos=NNP, head=1, label=nsubj
Gold: token=on, upos=ADP, xpos=IN, head=6, label=case
Pred: token=on, upos=ADP, xpos=IN, head=6, label=case
Gold: token=the, upos=DET, xpos=DT, head=6, label=det
Pred: token=the, upos=DET, xpos=DT, head=6, label=det
Gold: token=book, upos=NOUN, xpos=NN, head=1, label=nmod
Pred: token=book, upos=NOUN, xpos=NN, head=1, label=obl
Gold: token=?, upos=PUNCT, xpos=?, head=1, label=punct
Pred: token=?, upos=PUNCT, xpos=?, head=1, label=punct
------------------------------------------------------------

# sentence: Red bus called Bertie .
Gold: token=Red, upos=ADJ, xpos=JJ, head=2, label=amod
Pred: token=Red, upos=ADJ, xpos=JJ, head=2, label=amod
Gold: token=bus, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=bus, upos=NOUN, xpos=NN, head=3, label=nsubj:pass
Gold: token=called, upos=VERB, xpos=VBN, head=2, label=acl
Pred: token=called, upos=VERB, xpos=VBN, head=0, label=root
Gold: token=Bertie, upos=PROPN, xpos=NNP, head=3, label=xcomp
Pred: token=Bertie, upos=PROPN, xpos=NNP, head=3, label=xcomp
Gold: token=., upos=PUNCT, xpos=., head=2, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: Pear good boy .
Gold: token=Pear, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=Pear, upos=NOUN, xpos=NN, head=3, label=compound
Gold: token=good, upos=ADJ, xpos=JJ, head=3, label=amod
Pred: token=good, upos=ADJ, xpos=JJ, head=3, label=amod
Gold: token=boy, upos=NOUN, xpos=NN, head=1, label=vocative
Pred: token=boy, upos=NOUN, xpos=NN, head=0, label=root
Gold: token=., upos=PUNCT, xpos=., head=1, label=punct
Pred: token=., upos=PUNCT, xpos=., head=3, label=punct
------------------------------------------------------------

# sentence: Are you going to show me what you 've got in the shopping basket because you 've got some fruit in there have n't you ?
Gold: token=Are, upos=AUX, xpos=VBP, head=3, label=aux
Pred: token=Are, upos=AUX, xpos=VBP, head=3, label=aux
