sentence,category
Would you like a little bit of cheese as well ?,QYN
Can I have that crisp ?,QYN
Would you like one of mine ?,QYN
Has it gone up your sleeve ?,QYN
Does that sound like it driving off now ?,QYN
Did you just see the end of it ?,QYN
Is it recording that ?,QYN
Would you like a picnic ?,QYN
Can I listen ?,QYN
Can you see that orange beach towel ?,QYN
Would you like cereal first then toast ?,QYN
Is Purdie blowing ?,QYN
Do you want toast first ?,QYN
Do you like scary things ?,QYN
Trying not to crunch your hula hoop ?,QYN
Are you letting it dis dissolve in your mouth ?,QYN
Would you like milk with those ?,QYN
Are you going to pour them ?,QYN
Do you know Sanji ?,QYN
Are you ringing your little mobile phone from your workshop to phone the police to arrest me ?,QYN
Is his Mummy the lady who wears the grey coat ?,QYN
Would you like a listen ?,QYN
Can you hear me talking ?,QYN
Wait why are you arresting me ?,QYN
Can you hear me now talking ?,QYN
Can you not hear Mummy talking ?,QYN
Do you know how you always wan na go upstairs ?,QYN
Is our cabinet locked ?,QYN
Are we doing the tape ?,QYN
Did you hear that click ?,QYN
Talking about boops are we go to the race rail railway station today ?,QYN
Could I try some nuts in ?,QYN
Have you seen that woman peeping through the window ?,QYN
Can we pretend ?,QYN
Shall I bring it down ?,QYN
Is that what we 'll only have ?,QYN
Serves the robber right ?,QYN
Get what ?,QYN
See it ?,QYN
Did you find it ?,QYN
Are you going to write ?,QYN
Doing Mommy ?,QYN
Eat it ?,QYN
Come down ?,QYN
Find it ?,QYN
Do you ?,QYN
Sleep ?,QYN
Fix ?,QYN
Is that what you want ?,QYN
Do you want this ?,QYN
Would you like more grape juice ?,QYN
Are you saying Fraser ?,QYN
Are you finished with your juice ?,QYN
Did you eat it ?,QYN
Will you ask Mr Fraser if he 'd like a drink of water ?,QYN
Think she would ?,QYN
Would he like to have Eve 's hat ?,QYN
Do you want me to turn it for you ?,QYN
Want me to turn it ?,QYN
Want come up ?,QYN
Do we haf ta change your diaper ?,QYN
Can you get your chair ?,QYN
Give the man a cracker ?,QYN
Are you all done ?,QYN
Would you like a piece of apple ?,QYN
Does she like it ?,QYN
Find what ?,QYN
Do you want dolly 's shoe ?,QYN
Did you put dolly 's shoes on ?,QYN
Does it taste good ?,QYN
Change your record would you please ?,QYN
Change your record ?,QYN
Will Mommy put them in the basket ?,QYN
Could you get the other books ?,QYN
Would you bring them here please ?,QYN
Did you hit your head ?,QYN
Gon na sit down ?,QYN
Is Eve going to read ?,QYN
Did you hear the bird ?,QYN
Are you going to sit out there ?,QYN
Do you want your diaper changed ?,QYN
Change her ?,QYN
Want me to fix it ?,QYN
Would you like a cracker ?,QYN
Would you like another piece of cheese ?,QYN
Draw lady ?,QYN
Would you like more tapioca Eve ?,QYN
Would you like your milk over there ?,QYN
Do you want me to turn it ?,QYN
Carry Eve ?,QYN
Are you having bowels ?,QYN
Will we change your wet diaper ?,QYN
Want Papa change her ?,QYN
Can I buy her ?,QYN
Did you feed dolly ?,QYN
Would you come here and show Fraser your lion ?,QYN
Did you show Fraser your drum ?,QYN
Would you like to have your lunch ?,QYN
Do you wan na eat a piece of cheese right now ?,QYN
Would you like a carrot ?,QYN
Did we forget your grape juice ?,QYN
Can I have a string please ?,QYN
Can you jump in the livingroom ?,QYN
Will I fix the paper ?,QYN
Wo n't you put your arm around my neck ?,QYN
Is horsie sitting down ?,QYN
Drink of what ?,QYN
Want another piece of celery ?,QYN
Do you want one ?,QYN
Would you like that ?,QYN
Can you spell dog ?,QYN
Would you like to have your lunch my dear ?,QYN
Would you like to have some cheese too ?,QYN
Did you drop the letters ?,QYN
Put them back ?,QYN
Would you like that after your nap ?,QYN
Did you get your tablet Eve ?,QYN
Would you like to have a cracker ?,QYN
See her ?,QYN
See we made a picture see ?,QYN
Did you make a great big hole in here ?,QYN
Did you turned it ?,QYN
Are you having coffee ?,QYN
May I have coffee with Fraser ?,QYN
Had ta get your shoe caught ?,QYN
See me jump Fraser ?,QYN
See you jump ?,QYN
Could I use this one ?,QYN
Is that what you 're writing ?,QYN
Put it right in the hole see ?,QYN
Would you like to have noodle soup ?,QYN
Would you please take the pencil off the floor ?,QYN
Remember Gloria ?,QYN
Did Papa buy some vanilla ?,QYN
Did Fraser tell you you were a boy ?,QYN
Putting his head in a hole ?,QYN
Do you ?,QYN
Listen are we gon na change your diaper or what ?,QYN
Is that what 's gon na happen ?,QYN
Do you wan na wear one ?,QYN
Let 's try to be gentle with this and you know a good thing is to not touch that part right ?,QYN
Do you wan na hold that for a second while I change your diaper ?,QYN
Was mommy having a shower ?,QYN
Is mommy flying a kite ?,QYN
Is mommy cutting your hair ?,QYN
Was n't it last night when mommy was working ?,QYN
Do we put stickers on furniture I ca n't remember ?,QYN
Did you color your nails again ?,QYN
Take the sticker off ?,QYN
Does n't go on there ?,QYN
Do you think you could paint a flying head ?,QYN
Are you gon na go play in the mud ?,QYN
Do you want some beans too doggie ?,QYN
Do you know that you 're speaking very softly and and mommy can hardly hear you ?,QYN
Do you think you could help out your poor deaf mother and speak louder ?,QYN
Can we use the turtle as the turtle oven ?,QYN
Are you painting white there ?,QYN
Are you still looking for the spider ?,QYN
Should I make some more ?,QYN
Are we gon na stand in the center ?,QYN
Should we use this brush for the red one ?,QYN
Let 's share let 's share these two alright ?,QYN
Should we paint should we use the black paint then ?,QYN
Do you wan na do it or do you want me to do it ?,QYN
Do n't you think it would be nice to share ?,QYN
Can you draw mommy ?,QYN
Should we give the flying head some really black eyes here ?,QYN
Should we paint Emma first should we paint you first ?,QYN
Is the baby hiding in there ?,QYN
Do you want some ginger ?,QYN
Is your tummy hurting ?,QYN
Did you say she was a friend last do something ?,QYN
Are you gon na go to the store and buy some ?,QYN
Are you writing my name on that ?,QYN
Did you ?,QYN
Are you getting something out of there ?,QYN
Can I have that ?,QYN
Do the sidewalk chalk ?,QYN
Catch can I have ?,QYN
Does this open ?,QYN
Are they gon na drive into here ?,QYN
Are you gon na open this thing up ?,QYN
Is there a horsie in there to jump over it ?,QYN
Can I jump over ?,QYN
Can I ride on one of you ?,QYN
Do you have any cats ?,QYN
Are you whispering ?,QYN
Do you want some more more wool for the chicken ?,QYN
Are you sure you 're not gon na be too hot with the chicken blanket rooster ?,QYN
Did you wake up ?,QYN
Were you sleeping ?,QYN
Are you gon na go away in the tractor ?,QYN
Should we go to Cassadaga beach ?,QYN
Are you guys are you gon na go swimming at Cassadaga beach ?,QYN
Can you go too ?,QYN
Are you guys gon na get out and go swimming or are you just gon na stand in that basket ?,QYN
Do you wan na have a race ?,QYN
Are we gon na race to the edge of the rug ?,QYN
Are you set ?,QYN
Try to be careful okay ?,QYN
Do you wan na draw your doggie ?,QYN
Will you show that doggie to Jessica ?,QYN
Does n't he have his collar off ?,QYN
Horsie what happened ?,QYN
Do you know that your little watering trough is in the very deep green water right now ?,QYN
Did you know that ?,QYN
Do you think we should make up a story for Jessica ?,QYN
Should we open the package from Hans and Temerl ?,QYN
Is that when she was born ?,QYN
Can I do it right now ?,QYN
Remember we were going to go to that museum ?,QYN
Can I open this ?,QYN
Can I open my present ?,QYN
Should we open the game ?,QYN
Do do you not have teeth because because they all fell out because they had cavities because you did n't brush them or did you just never get teeth ?,QYN
Do I have teeth ?,QYN
Do you have the peacock ?,QYN
Should we give it a flag ?,QYN
Can we build a door out of sand ?,QYN
Wait for the um for the jellyfish right ?,QYN
Did she tape it up ?,QYN
Should we go to a museum ?,QYN
Should we go to Erie ?,QYN
Wait how about that museum with the dinosaurs ?,QYN
Remember that museum with the dinosaurs ?,QYN
Let 's go ready ?,QYN
Dig for dinosaurs ?,QYN
Should we come down here and play too ?,QYN
Should we open this daddy ?,QYN
Was it flying ?,QYN
Should we go there ?,QYN
Did you get some antelope ?,QYN
Remember he use ta be a baby ?,QYN
Do you think daddy ?,QYN
Do you think he ate some birds ?,QYN
Peed on ?,QYN
Does it still fly when it 's wet ?,QYN
Know what 's coming from something in the box ?,QYN
Could you go and get Avril another toy or so ?,QYN
Can you open it for me ?,QYN
Did you leap to a rescue ?,QYN
Can you open that ?,QYN
Do you know where some was ?,QYN
Can you open this ?,QYN
Are you gon na have a party and cake for him ?,QYN
Do you think we could be sparkly like them ?,QYN
Was n't he feeling a little sick ?,QYN
Can you make your name ?,QYN
Can you make this M ?,QYN
Wan na make an A over here ?,QYN
Do you know how to spell it ?,QYN
Do you have any elephant did you get any elephant food ?,QYN
Have you made a honey comb before ?,QYN
Did you do that here or did Jeanie you did it at Jeanie 's house ?,QYN
Making a pretty pretty big honey comb are n't I ?,QYN
See Mom ?,QYN
Are you having trouble with Avril ?,QYN
Do we haf ta get Avril off your mat ?,QYN
Are you trying to do a head stand ?,QYN
Remember where we went yesterday ?,QYN
Did you say tea ?,QYN
Do you remember the date of your birthday ?,QYN
Do you remember what month your birthday 's in ?,QYN
Did she did she make the yam frosting ?,QYN
Did ya ?,QYN
Is that what happened ?,QYN
Can you get it open ?,QYN
Does that go with the big sheep ?,QYN
Is there a mouse that goes in there ?,QYN
Is it all taped up ?,QYN
Would you like young lady in the car would you like some turkey dogs or spinach munchies ?,QYN
Do you want anything with them ketchup vinegar ?,QYN
Would you like some ?,QYN
Are you eating more popcorn missy ?,QYN
Did she bring did she bring the toy back ?,QYN
Can you read it ?,QYN
Can you help me ?,QYN
Can you say star ?,QYN
Go here ?,QYN
Turn the page ?,QYN
Do you ?,QYN
Are you hiding ?,QYN
See it ?,QYN
Turn it over ?,QYN
Can you get it ?,QYN
Does that feel good ?,QYN
Do you know what this is ?,QYN
Do you know ?,QYN
Put what ?,QYN
Can you fix it ?,QYN
Would you like to read a book ?,QYN
Can I have it ?,QYN
Do n't you think ?,QYN
Are you done ?,QYN
Can you do it ?,QYN
Can you blow ?,QYN
Can I call you back ?,QYN
Do you remember ?,QYN
