Sentence,Roberta_CDS_biaffine,Roberta_eng_biaffine,Stanza_off_the_shelf
nee nah .,"nee	_	_	_	_	_	0	root	_	_
nah	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	1	punct	_	_","nee	_	_	_	_	_	0	root	_	_
nah	_	_	_	_	_	1	discourse	_	_
.	_	_	_	_	_	1	punct	_	_","nee	_	INTJ	UH	_	_	2	discourse	_	_
nah	_	INTJ	UH	_	_	0	root	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
bee bah .,"bee	_	_	_	_	_	0	root	_	_
bah	_	_	_	_	_	1	discourse	_	_
.	_	_	_	_	_	1	punct	_	_","bee	_	_	_	_	_	2	compound	_	_
bah	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","bee	_	VERB	VB	_	_	0	root	_	_
bah	_	INTJ	UH	_	_	1	obj	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
nee nah .,"nee	_	_	_	_	_	0	root	_	_
nah	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	1	punct	_	_","nee	_	_	_	_	_	0	root	_	_
nah	_	_	_	_	_	1	discourse	_	_
.	_	_	_	_	_	1	punct	_	_","nee	_	INTJ	UH	_	_	2	discourse	_	_
nah	_	INTJ	UH	_	_	0	root	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
frightened somebody's beer .,"frightened	_	_	_	_	_	0	root	_	_
somebody's	_	_	_	_	_	3	nmod:poss	_	_
beer	_	_	_	_	_	1	obj	_	_
.	_	_	_	_	_	1	punct	_	_","frightened	_	_	_	_	_	0	root	_	_
somebody's	_	_	_	_	_	3	nmod:poss	_	_
beer	_	_	_	_	_	1	obj	_	_
.	_	_	_	_	_	1	punct	_	_","frightened	_	VERB	VBD	_	_	0	root	_	_
somebody	_	PRON	NN	_	_	4	nmod:poss	_	_
's	_	PART	POS	_	_	2	case	_	_
beer	_	NOUN	NN	_	_	1	obj	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
smack that little Mummy .,"smack	_	_	_	_	_	0	root	_	_
that	_	_	_	_	_	1	obj	_	_
little	_	_	_	_	_	1	obj	_	_
Mummy	_	_	_	_	_	1	vocative	_	_
.	_	_	_	_	_	1	punct	_	_","smack	_	_	_	_	_	0	root	_	_
that	_	_	_	_	_	4	det	_	_
little	_	_	_	_	_	4	amod	_	_
Mummy	_	_	_	_	_	1	obj	_	_
.	_	_	_	_	_	1	punct	_	_","smack	_	VERB	VB	_	_	0	root	_	_
that	_	DET	DT	_	_	4	det	_	_
little	_	ADJ	JJ	_	_	4	amod	_	_
Mummy	_	NOUN	NN	_	_	1	obj	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
"lots of vegetables , Mummy .","lots	_	_	_	_	_	0	root	_	_
of	_	_	_	_	_	3	case	_	_
vegetables	_	_	_	_	_	1	nmod	_	_
,	_	_	_	_	_	1	punct	_	_
Mummy	_	_	_	_	_	1	vocative	_	_
.	_	_	_	_	_	1	punct	_	_","lots	_	_	_	_	_	0	root	_	_
of	_	_	_	_	_	3	case	_	_
vegetables	_	_	_	_	_	1	nmod	_	_
,	_	_	_	_	_	5	punct	_	_
Mummy	_	_	_	_	_	1	vocative	_	_
.	_	_	_	_	_	1	punct	_	_","lots	_	NOUN	NNS	_	_	0	root	_	_
of	_	ADP	IN	_	_	3	case	_	_
vegetables	_	NOUN	NNS	_	_	1	nmod	_	_
,	_	PUNCT	,	_	_	5	punct	_	_
Mummy	_	NOUN	NN	_	_	3	appos	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
there's Smarties .,"there's	_	_	_	_	_	0	root	_	_
Smarties	_	_	_	_	_	1	nsubj	_	_
.	_	_	_	_	_	1	punct	_	_","there's	_	_	_	_	_	0	root	_	_
Smarties	_	_	_	_	_	1	nsubj	_	_
.	_	_	_	_	_	1	punct	_	_","there	_	PRON	EX	_	_	2	expl	_	_
's	_	VERB	VBZ	_	_	0	root	_	_
Smarties	_	NOUN	NNS	_	_	2	nsubj	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
nee nah nee nah .,"nee	_	_	_	_	_	0	root	_	_
nah	_	_	_	_	_	1	flat	_	_
nee	_	_	_	_	_	1	conj	_	_
nah	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	1	punct	_	_","nee	_	_	_	_	_	0	root	_	_
nah	_	_	_	_	_	1	flat	_	_
nee	_	_	_	_	_	4	discourse	_	_
nah	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	1	punct	_	_","nee	_	INTJ	UH	_	_	3	discourse	_	_
nah	_	INTJ	UH	_	_	3	discourse	_	_
nee	_	INTJ	UH	_	_	4	discourse	_	_
nah	_	INTJ	UH	_	_	0	root	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
he's going nee nah beep beep .,"he's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
nee	_	_	_	_	_	2	discourse	_	_
nah	_	_	_	_	_	3	conj	_	_
beep	_	_	_	_	_	2	parataxis	_	_
beep	_	_	_	_	_	5	conj	_	_
.	_	_	_	_	_	2	punct	_	_","he's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
nee	_	_	_	_	_	2	discourse	_	_
nah	_	_	_	_	_	3	discourse	_	_
beep	_	_	_	_	_	2	ccomp	_	_
beep	_	_	_	_	_	2	discourse	_	_
.	_	_	_	_	_	2	punct	_	_","he	_	PRON	PRP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	aux	_	_
going	_	VERB	VBG	_	_	0	root	_	_
nee	_	PROPN	NNP	_	_	3	obj	_	_
nah	_	INTJ	UH	_	_	7	discourse	_	_
beep	_	NOUN	NN	_	_	7	compound	_	_
beep	_	NOUN	NN	_	_	3	obj	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
nee nah nee nah .,"nee	_	_	_	_	_	0	root	_	_
nah	_	_	_	_	_	1	flat	_	_
nee	_	_	_	_	_	1	conj	_	_
nah	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	1	punct	_	_","nee	_	_	_	_	_	0	root	_	_
nah	_	_	_	_	_	1	flat	_	_
nee	_	_	_	_	_	4	discourse	_	_
nah	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	1	punct	_	_","nee	_	INTJ	UH	_	_	3	discourse	_	_
nah	_	INTJ	UH	_	_	3	discourse	_	_
nee	_	INTJ	UH	_	_	4	discourse	_	_
nah	_	INTJ	UH	_	_	0	root	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
nee nah nee nah .,"nee	_	_	_	_	_	0	root	_	_
nah	_	_	_	_	_	1	flat	_	_
nee	_	_	_	_	_	1	conj	_	_
nah	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	1	punct	_	_","nee	_	_	_	_	_	0	root	_	_
nah	_	_	_	_	_	1	flat	_	_
nee	_	_	_	_	_	4	discourse	_	_
nah	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	1	punct	_	_","nee	_	INTJ	UH	_	_	3	discourse	_	_
nah	_	INTJ	UH	_	_	3	discourse	_	_
nee	_	INTJ	UH	_	_	4	discourse	_	_
nah	_	INTJ	UH	_	_	0	root	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
Tinky Winky said the policeman .,"Tinky	_	_	_	_	_	0	root	_	_
Winky	_	_	_	_	_	1	flat	_	_
said	_	_	_	_	_	1	parataxis	_	_
the	_	_	_	_	_	5	det	_	_
policeman	_	_	_	_	_	3	nsubj	_	_
.	_	_	_	_	_	1	punct	_	_","Tinky	_	_	_	_	_	3	nsubj	_	_
Winky	_	_	_	_	_	1	flat	_	_
said	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	5	det	_	_
policeman	_	_	_	_	_	3	nsubj	_	_
.	_	_	_	_	_	3	punct	_	_","Tinky	_	PROPN	NNP	_	_	0	root	_	_
Winky	_	PROPN	NNP	_	_	2	nsubj	_	_
said	_	VERB	VBD	_	_	0	root	_	_
the	_	DET	DT	_	_	4	det	_	_
policeman	_	NOUN	NN	_	_	2	obj	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
Aunty Father Christmas brought you .,"Aunty	_	_	_	_	_	4	vocative	_	_
Father	_	_	_	_	_	4	nsubj	_	_
Christmas	_	_	_	_	_	2	flat	_	_
brought	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	4	punct	_	_","Aunty	_	_	_	_	_	4	nsubj	_	_
Father	_	_	_	_	_	3	nmod:desc	_	_
Christmas	_	_	_	_	_	1	flat	_	_
brought	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	4	punct	_	_","Aunty	_	PROPN	NNP	_	_	4	nsubj	_	_
Father	_	PROPN	NNP	_	_	1	flat	_	_
Christmas	_	PROPN	NNP	_	_	1	flat	_	_
brought	_	VERB	VBD	_	_	0	root	_	_
you	_	PRON	PRP	_	_	4	obj	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
beebaa beebaa .,"beebaa	_	_	_	_	_	0	root	_	_
beebaa	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","beebaa	_	_	_	_	_	0	root	_	_
beebaa	_	_	_	_	_	1	parataxis	_	_
.	_	_	_	_	_	1	punct	_	_","beebaa	_	PROPN	NNP	_	_	0	root	_	_
beebaa	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
put to on to La La on there .,"put	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	3	reparandum	_	_
on	_	_	_	_	_	5	reparandum	_	_
to	_	_	_	_	_	5	case	_	_
La	_	_	_	_	_	1	obl	_	_
La	_	_	_	_	_	5	flat	_	_
on	_	_	_	_	_	8	case	_	_
there	_	_	_	_	_	1	obl	_	_
.	_	_	_	_	_	1	punct	_	_","put	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	5	reparandum	_	_
on	_	_	_	_	_	5	reparandum	_	_
to	_	_	_	_	_	5	case	_	_
La	_	_	_	_	_	1	obl	_	_
La	_	_	_	_	_	5	flat	_	_
on	_	_	_	_	_	8	case	_	_
there	_	_	_	_	_	5	obl	_	_
.	_	_	_	_	_	1	punct	_	_","put	_	VERB	VB	_	_	0	root	_	_
to	_	ADP	IN	_	_	1	advmod	_	_
on	_	ADP	IN	_	_	1	advmod	_	_
to	_	ADP	IN	_	_	5	case	_	_
La	_	PROPN	NNP	_	_	1	obl	_	_
La	_	PROPN	NNP	_	_	5	flat	_	_
on	_	ADP	IN	_	_	8	case	_	_
there	_	ADV	RB	_	_	1	obl	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
go in Daddy's car .,"go	_	_	_	_	_	0	root	_	_
in	_	_	_	_	_	4	case	_	_
Daddy's	_	_	_	_	_	4	nmod:poss	_	_
car	_	_	_	_	_	1	obl	_	_
.	_	_	_	_	_	1	punct	_	_","go	_	_	_	_	_	0	root	_	_
in	_	_	_	_	_	4	case	_	_
Daddy's	_	_	_	_	_	4	nmod:poss	_	_
car	_	_	_	_	_	1	obl	_	_
.	_	_	_	_	_	1	punct	_	_","go	_	VERB	VB	_	_	0	root	_	_
in	_	ADP	IN	_	_	5	case	_	_
Daddy	_	PROPN	NNP	_	_	5	nmod:poss	_	_
's	_	PART	POS	_	_	3	case	_	_
car	_	NOUN	NN	_	_	1	obl	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
not today again .,"not	_	_	_	_	_	2	advmod	_	_
today	_	_	_	_	_	0	root	_	_
again	_	_	_	_	_	2	advmod	_	_
.	_	_	_	_	_	2	punct	_	_","not	_	_	_	_	_	2	advmod	_	_
today	_	_	_	_	_	0	root	_	_
again	_	_	_	_	_	2	advmod	_	_
.	_	_	_	_	_	2	punct	_	_","not	_	PART	RB	_	_	2	advmod	_	_
today	_	NOUN	NN	_	_	3	obl:unmarked	_	_
again	_	ADV	RB	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
mummy take them away .,"mummy	_	_	_	_	_	2	vocative	_	_
take	_	_	_	_	_	0	root	_	_
them	_	_	_	_	_	2	obj	_	_
away	_	_	_	_	_	2	advmod	_	_
.	_	_	_	_	_	2	punct	_	_","mummy	_	_	_	_	_	2	vocative	_	_
take	_	_	_	_	_	0	root	_	_
them	_	_	_	_	_	2	obj	_	_
away	_	_	_	_	_	2	advmod	_	_
.	_	_	_	_	_	2	punct	_	_","mummy	_	NOUN	NN	_	_	2	nsubj	_	_
take	_	VERB	VB	_	_	0	root	_	_
them	_	PRON	PRP	_	_	2	obj	_	_
away	_	ADP	RP	_	_	2	compound:prt	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
mummy want an orange ?,"mummy	_	_	_	_	_	2	vocative	_	_
want	_	_	_	_	_	0	root	_	_
an	_	_	_	_	_	4	det	_	_
orange	_	_	_	_	_	2	obj	_	_
?	_	_	_	_	_	2	punct	_	_","mummy	_	_	_	_	_	2	nsubj	_	_
want	_	_	_	_	_	0	root	_	_
an	_	_	_	_	_	4	det	_	_
orange	_	_	_	_	_	2	obj	_	_
?	_	_	_	_	_	2	punct	_	_","mummy	_	NOUN	NN	_	_	2	nsubj	_	_
want	_	VERB	VB	_	_	0	root	_	_
an	_	DET	DT	_	_	4	det	_	_
orange	_	NOUN	NN	_	_	2	obj	_	_
?	_	PUNCT	.	_	_	2	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
snap snap .,"snap	_	_	_	_	_	0	root	_	_
snap	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","snap	_	_	_	_	_	0	root	_	_
snap	_	_	_	_	_	1	parataxis	_	_
.	_	_	_	_	_	1	punct	_	_","snap	_	VERB	VB	_	_	0	root	_	_
snap	_	NOUN	NN	_	_	1	obj	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
snap snap .,"snap	_	_	_	_	_	0	root	_	_
snap	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","snap	_	_	_	_	_	0	root	_	_
snap	_	_	_	_	_	1	parataxis	_	_
.	_	_	_	_	_	1	punct	_	_","snap	_	VERB	VB	_	_	0	root	_	_
snap	_	NOUN	NN	_	_	1	obj	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
choc choc .,"choc	_	_	_	_	_	0	root	_	_
choc	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","choc	_	_	_	_	_	2	compound	_	_
choc	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","choc	_	NOUN	NN	_	_	2	compound	_	_
choc	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
snip snip .,"snip	_	_	_	_	_	0	root	_	_
snip	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","snip	_	_	_	_	_	0	root	_	_
snip	_	_	_	_	_	1	parataxis	_	_
.	_	_	_	_	_	1	punct	_	_","snip	_	NOUN	NN	_	_	2	compound	_	_
snip	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
help help .,"help	_	_	_	_	_	0	root	_	_
help	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","help	_	_	_	_	_	0	root	_	_
help	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","help	_	VERB	VB	_	_	0	root	_	_
help	_	VERB	VB	_	_	1	xcomp	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
poop poop .,"poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","poop	_	_	_	_	_	2	discourse	_	_
poop	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","poop	_	NOUN	NN	_	_	2	compound	_	_
poop	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
poop poop .,"poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","poop	_	_	_	_	_	2	discourse	_	_
poop	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","poop	_	NOUN	NN	_	_	2	compound	_	_
poop	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
help help .,"help	_	_	_	_	_	0	root	_	_
help	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","help	_	_	_	_	_	0	root	_	_
help	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","help	_	VERB	VB	_	_	0	root	_	_
help	_	VERB	VB	_	_	1	xcomp	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
poop poop .,"poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","poop	_	_	_	_	_	2	discourse	_	_
poop	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","poop	_	NOUN	NN	_	_	2	compound	_	_
poop	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
poop poop .,"poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","poop	_	_	_	_	_	2	discourse	_	_
poop	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","poop	_	NOUN	NN	_	_	2	compound	_	_
poop	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
poop poop .,"poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","poop	_	_	_	_	_	2	discourse	_	_
poop	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","poop	_	NOUN	NN	_	_	2	compound	_	_
poop	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
poop poop .,"poop	_	_	_	_	_	0	root	_	_
poop	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","poop	_	_	_	_	_	2	discourse	_	_
poop	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","poop	_	NOUN	NN	_	_	2	compound	_	_
poop	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
Nin Nin .,"Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","Nin	_	_	_	_	_	0	root	_	_
Nin	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	2	punct	_	_","Nin	_	PROPN	NNP	_	_	0	root	_	_
Nin	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
