Sentence,Roberta_CDS_biaffine,Roberta_eng_biaffine,Stanza_off_the_shelf
that's my favorite .,"that's	_	_	_	_	_	3	cop	_	_
my	_	_	_	_	_	3	nmod:poss	_	_
favorite	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","that's	_	_	_	_	_	3	nsubj	_	_
my	_	_	_	_	_	3	nmod:poss	_	_
favorite	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","that	_	PRON	DT	_	_	4	nsubj	_	_
's	_	AUX	VBZ	_	_	4	cop	_	_
my	_	PRON	PRP$	_	_	4	nmod:poss	_	_
favorite	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
that's a match .,"that's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
match	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","that's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
match	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","that	_	PRON	DT	_	_	4	nsubj	_	_
's	_	AUX	VBZ	_	_	4	cop	_	_
a	_	DET	DT	_	_	4	det	_	_
match	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
it's a train .,"it's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
train	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it's	_	_	_	_	_	3	cop	_	_
a	_	_	_	_	_	3	det	_	_
train	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it	_	PRON	PRP	_	_	4	nsubj	_	_
's	_	AUX	VBZ	_	_	4	cop	_	_
a	_	DET	DT	_	_	4	det	_	_
train	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
it's a mail train .,"it's	_	_	_	_	_	4	cop	_	_
a	_	_	_	_	_	4	det	_	_
mail	_	_	_	_	_	4	compound	_	_
train	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","it's	_	_	_	_	_	4	cop	_	_
a	_	_	_	_	_	4	det	_	_
mail	_	_	_	_	_	4	compound	_	_
train	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","it	_	PRON	PRP	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
a	_	DET	DT	_	_	5	det	_	_
mail	_	NOUN	NN	_	_	5	compound	_	_
train	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
it's going the wrong way .,"it's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	5	det	_	_
wrong	_	_	_	_	_	5	amod	_	_
way	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","it's	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	5	det	_	_
wrong	_	_	_	_	_	5	amod	_	_
way	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","it	_	PRON	PRP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	aux	_	_
going	_	VERB	VBG	_	_	0	root	_	_
the	_	DET	DT	_	_	6	det	_	_
wrong	_	ADJ	JJ	_	_	6	amod	_	_
way	_	NOUN	NN	_	_	3	obj	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
what about Daddy ?,"what	_	_	_	_	_	0	root	_	_
about	_	_	_	_	_	3	case	_	_
Daddy	_	_	_	_	_	1	nmod	_	_
?	_	_	_	_	_	1	punct	_	_","what	_	_	_	_	_	0	root	_	_
about	_	_	_	_	_	3	case	_	_
Daddy	_	_	_	_	_	1	obl	_	_
?	_	_	_	_	_	1	punct	_	_","what	_	PRON	WP	_	_	0	root	_	_
about	_	ADP	IN	_	_	3	case	_	_
Daddy	_	PROPN	NNP	_	_	1	obl	_	_
?	_	PUNCT	.	_	_	1	punct	_	_"
where's that big brown red post box ?,"where's	_	_	_	_	_	0	root	_	_
that	_	_	_	_	_	7	det	_	_
big	_	_	_	_	_	7	amod	_	_
brown	_	_	_	_	_	7	amod	_	_
red	_	_	_	_	_	7	amod	_	_
post	_	_	_	_	_	7	compound	_	_
box	_	_	_	_	_	1	nsubj	_	_
?	_	_	_	_	_	1	punct	_	_","where's	_	_	_	_	_	0	root	_	_
that	_	_	_	_	_	7	det	_	_
big	_	_	_	_	_	7	amod	_	_
brown	_	_	_	_	_	7	amod	_	_
red	_	_	_	_	_	7	amod	_	_
post	_	_	_	_	_	7	compound	_	_
box	_	_	_	_	_	1	nsubj	_	_
?	_	_	_	_	_	1	punct	_	_","where	_	ADV	WRB	_	_	0	root	_	_
's	_	AUX	VBZ	_	_	1	cop	_	_
that	_	DET	DT	_	_	8	det	_	_
big	_	ADJ	JJ	_	_	8	amod	_	_
brown	_	ADJ	JJ	_	_	8	amod	_	_
red	_	ADJ	JJ	_	_	8	amod	_	_
post	_	NOUN	NN	_	_	8	compound	_	_
box	_	NOUN	NN	_	_	1	nsubj	_	_
?	_	PUNCT	.	_	_	1	punct	_	_"
"Mummy , you sing a thing .","Mummy	_	_	_	_	_	4	vocative	_	_
,	_	_	_	_	_	4	punct	_	_
you	_	_	_	_	_	4	nsubj	_	_
sing	_	_	_	_	_	0	root	_	_
a	_	_	_	_	_	6	det	_	_
thing	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	4	punct	_	_","Mummy	_	_	_	_	_	4	vocative	_	_
,	_	_	_	_	_	1	punct	_	_
you	_	_	_	_	_	4	nsubj	_	_
sing	_	_	_	_	_	0	root	_	_
a	_	_	_	_	_	6	det	_	_
thing	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	4	punct	_	_","Mummy	_	NOUN	NN	_	_	4	vocative	_	_
,	_	PUNCT	,	_	_	1	punct	_	_
you	_	PRON	PRP	_	_	4	nsubj	_	_
sing	_	VERB	VBP	_	_	0	root	_	_
a	_	DET	DT	_	_	6	det	_	_
thing	_	NOUN	NN	_	_	4	obj	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
where's the little yellow bus ?,"where's	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	5	det	_	_
little	_	_	_	_	_	5	amod	_	_
yellow	_	_	_	_	_	5	amod	_	_
bus	_	_	_	_	_	1	nsubj	_	_
?	_	_	_	_	_	1	punct	_	_","where's	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	5	det	_	_
little	_	_	_	_	_	5	amod	_	_
yellow	_	_	_	_	_	5	amod	_	_
bus	_	_	_	_	_	1	nsubj	_	_
?	_	_	_	_	_	1	punct	_	_","where	_	ADV	WRB	_	_	0	root	_	_
's	_	AUX	VBZ	_	_	1	cop	_	_
the	_	DET	DT	_	_	6	det	_	_
little	_	ADJ	JJ	_	_	6	amod	_	_
yellow	_	ADJ	JJ	_	_	6	amod	_	_
bus	_	NOUN	NN	_	_	1	nsubj	_	_
?	_	PUNCT	.	_	_	1	punct	_	_"
what's it called ?,"what's	_	_	_	_	_	3	aux	_	_
it	_	_	_	_	_	3	nsubj:pass	_	_
called	_	_	_	_	_	0	root	_	_
?	_	_	_	_	_	3	punct	_	_","what's	_	_	_	_	_	3	aux:pass	_	_
it	_	_	_	_	_	3	nsubj:pass	_	_
called	_	_	_	_	_	0	root	_	_
?	_	_	_	_	_	3	punct	_	_","what	_	PRON	WP	_	_	4	nsubj:pass	_	_
's	_	AUX	VBZ	_	_	4	aux:pass	_	_
it	_	PRON	PRP	_	_	4	nsubj:pass	_	_
called	_	VERB	VBN	_	_	0	root	_	_
?	_	PUNCT	.	_	_	4	punct	_	_"
what's it called that yellow bus ?,"what's	_	_	_	_	_	3	aux	_	_
it	_	_	_	_	_	3	nsubj:pass	_	_
called	_	_	_	_	_	0	root	_	_
that	_	_	_	_	_	6	det	_	_
yellow	_	_	_	_	_	6	amod	_	_
bus	_	_	_	_	_	3	parataxis	_	_
?	_	_	_	_	_	3	punct	_	_","what's	_	_	_	_	_	3	aux:pass	_	_
it	_	_	_	_	_	3	nsubj:pass	_	_
called	_	_	_	_	_	0	root	_	_
that	_	_	_	_	_	6	det	_	_
yellow	_	_	_	_	_	6	amod	_	_
bus	_	_	_	_	_	3	xcomp	_	_
?	_	_	_	_	_	3	punct	_	_","what	_	PRON	WP	_	_	4	nsubj:pass	_	_
's	_	AUX	VBZ	_	_	4	aux:pass	_	_
it	_	PRON	PRP	_	_	4	nsubj:pass	_	_
called	_	VERB	VBN	_	_	0	root	_	_
that	_	DET	DT	_	_	7	det	_	_
yellow	_	ADJ	JJ	_	_	7	amod	_	_
bus	_	NOUN	NN	_	_	4	xcomp	_	_
?	_	PUNCT	.	_	_	4	punct	_	_"
Aunty Frank .,"Aunty	_	_	_	_	_	0	root	_	_
Frank	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	1	punct	_	_","Aunty	_	_	_	_	_	2	nmod:desc	_	_
Frank	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","Aunty	_	PROPN	NNP	_	_	0	root	_	_
Frank	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
no thanks .,"no	_	_	_	_	_	2	det	_	_
thanks	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","no	_	_	_	_	_	2	discourse	_	_
thanks	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","no	_	DET	DT	_	_	2	det	_	_
thanks	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
I'm going home now in my helicopter .,"I'm	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
home	_	_	_	_	_	2	advmod	_	_
now	_	_	_	_	_	2	advmod	_	_
in	_	_	_	_	_	7	case	_	_
my	_	_	_	_	_	7	nmod:poss	_	_
helicopter	_	_	_	_	_	2	obl	_	_
.	_	_	_	_	_	2	punct	_	_","I'm	_	_	_	_	_	2	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
home	_	_	_	_	_	2	advmod	_	_
now	_	_	_	_	_	2	advmod	_	_
in	_	_	_	_	_	7	case	_	_
my	_	_	_	_	_	7	nmod:poss	_	_
helicopter	_	_	_	_	_	2	obl	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	3	nsubj	_	_
'm	_	AUX	VBP	_	_	3	aux	_	_
going	_	VERB	VBG	_	_	0	root	_	_
home	_	ADV	RB	_	_	3	advmod	_	_
now	_	ADV	RB	_	_	3	advmod	_	_
in	_	ADP	IN	_	_	8	case	_	_
my	_	PRON	PRP$	_	_	8	nmod:poss	_	_
helicopter	_	NOUN	NN	_	_	3	obl	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
I'm cutting this .,"I'm	_	_	_	_	_	2	nsubj	_	_
cutting	_	_	_	_	_	0	root	_	_
this	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","I'm	_	_	_	_	_	2	nsubj	_	_
cutting	_	_	_	_	_	0	root	_	_
this	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	3	nsubj	_	_
'm	_	AUX	VBP	_	_	3	aux	_	_
cutting	_	VERB	VBG	_	_	0	root	_	_
this	_	PRON	DT	_	_	3	obj	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
somebody's beer .,"somebody's	_	_	_	_	_	2	nmod:poss	_	_
beer	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","somebody's	_	_	_	_	_	2	nmod:poss	_	_
beer	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","somebody	_	PRON	NN	_	_	3	nmod:poss	_	_
's	_	PART	POS	_	_	1	case	_	_
beer	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
oh God .,"oh	_	_	_	_	_	0	root	_	_
God	_	_	_	_	_	1	vocative	_	_
.	_	_	_	_	_	1	punct	_	_","oh	_	_	_	_	_	2	discourse	_	_
God	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","oh	_	INTJ	UH	_	_	2	discourse	_	_
God	_	PROPN	NNP	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
it's dirty .,"it's	_	_	_	_	_	2	nsubj	_	_
dirty	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","it's	_	_	_	_	_	2	nsubj	_	_
dirty	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","it	_	PRON	PRP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	cop	_	_
dirty	_	ADJ	JJ	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
and Mum said oh no no .,"and	_	_	_	_	_	3	cc	_	_
Mum	_	_	_	_	_	3	nsubj	_	_
said	_	_	_	_	_	0	root	_	_
oh	_	_	_	_	_	3	discourse	_	_
no	_	_	_	_	_	3	discourse	_	_
no	_	_	_	_	_	5	conj	_	_
.	_	_	_	_	_	3	punct	_	_","and	_	_	_	_	_	3	cc	_	_
Mum	_	_	_	_	_	3	nsubj	_	_
said	_	_	_	_	_	0	root	_	_
oh	_	_	_	_	_	5	discourse	_	_
no	_	_	_	_	_	3	ccomp	_	_
no	_	_	_	_	_	3	ccomp	_	_
.	_	_	_	_	_	3	punct	_	_","and	_	CCONJ	CC	_	_	3	cc	_	_
Mum	_	PROPN	NNP	_	_	3	nsubj	_	_
said	_	VERB	VBD	_	_	0	root	_	_
oh	_	INTJ	UH	_	_	3	discourse	_	_
no	_	INTJ	UH	_	_	3	discourse	_	_
no	_	INTJ	UH	_	_	3	discourse	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
it's mine .,"it's	_	_	_	_	_	2	nsubj	_	_
mine	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","it's	_	_	_	_	_	2	cop	_	_
mine	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","it	_	PRON	PRP	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	cop	_	_
mine	_	PRON	PRP	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
it's the train driver .,"it's	_	_	_	_	_	4	nsubj	_	_
the	_	_	_	_	_	4	det	_	_
train	_	_	_	_	_	4	compound	_	_
driver	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","it's	_	_	_	_	_	4	nsubj	_	_
the	_	_	_	_	_	4	det	_	_
train	_	_	_	_	_	4	compound	_	_
driver	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","it	_	PRON	PRP	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
the	_	DET	DT	_	_	5	det	_	_
train	_	NOUN	NN	_	_	5	compound	_	_
driver	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
who's under this chair ?,"who's	_	_	_	_	_	4	nsubj	_	_
under	_	_	_	_	_	4	case	_	_
this	_	_	_	_	_	4	det	_	_
chair	_	_	_	_	_	0	root	_	_
?	_	_	_	_	_	4	punct	_	_","who's	_	_	_	_	_	4	nsubj	_	_
under	_	_	_	_	_	4	case	_	_
this	_	_	_	_	_	4	det	_	_
chair	_	_	_	_	_	0	root	_	_
?	_	_	_	_	_	4	punct	_	_","who	_	PRON	WP	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
under	_	ADP	IN	_	_	5	case	_	_
this	_	DET	DT	_	_	5	det	_	_
chair	_	NOUN	NN	_	_	0	root	_	_
?	_	PUNCT	.	_	_	5	punct	_	_"
what about Dizzy ?,"what	_	_	_	_	_	0	root	_	_
about	_	_	_	_	_	3	case	_	_
Dizzy	_	_	_	_	_	1	nmod	_	_
?	_	_	_	_	_	1	punct	_	_","what	_	_	_	_	_	0	root	_	_
about	_	_	_	_	_	3	case	_	_
Dizzy	_	_	_	_	_	1	obl	_	_
?	_	_	_	_	_	1	punct	_	_","what	_	PRON	WP	_	_	0	root	_	_
about	_	ADP	IN	_	_	3	case	_	_
Dizzy	_	PROPN	NNP	_	_	1	nmod	_	_
?	_	PUNCT	.	_	_	1	punct	_	_"
