Sentence,Roberta_CDS_biaffine,Roberta_eng_biaffine,Stanza_off_the_shelf
on this this train .,"on	_	_	_	_	_	4	case	_	_
this	_	_	_	_	_	3	reparandum	_	_
this	_	_	_	_	_	4	det	_	_
train	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","on	_	_	_	_	_	4	case	_	_
this	_	_	_	_	_	3	reparandum	_	_
this	_	_	_	_	_	4	det	_	_
train	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","on	_	ADP	IN	_	_	2	case	_	_
this	_	PRON	DT	_	_	0	root	_	_
this	_	DET	DT	_	_	4	det	_	_
train	_	NOUN	NN	_	_	2	nmod:unmarked	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
"Mummy , need you sit there .","Mummy	_	_	_	_	_	3	vocative	_	_
,	_	_	_	_	_	3	nsubj	_	_
need	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	3	obj	_	_
sit	_	_	_	_	_	3	xcomp	_	_
there	_	_	_	_	_	5	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","Mummy	_	_	_	_	_	3	vocative	_	_
,	_	_	_	_	_	1	punct	_	_
need	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	3	obj	_	_
sit	_	_	_	_	_	3	xcomp	_	_
there	_	_	_	_	_	5	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","Mummy	_	NOUN	NN	_	_	3	vocative	_	_
,	_	PUNCT	,	_	_	1	punct	_	_
need	_	VERB	VB	_	_	0	root	_	_
you	_	PRON	PRP	_	_	5	nsubj	_	_
sit	_	VERB	VBP	_	_	3	ccomp	_	_
there	_	ADV	RB	_	_	5	advmod	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
Mummy need to do it .,"Mummy	_	_	_	_	_	2	vocative	_	_
need	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
do	_	_	_	_	_	2	xcomp	_	_
it	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	2	punct	_	_","Mummy	_	_	_	_	_	2	nsubj	_	_
need	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	4	mark	_	_
do	_	_	_	_	_	2	xcomp	_	_
it	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	2	punct	_	_","Mummy	_	NOUN	NN	_	_	2	nsubj	_	_
need	_	VERB	VBP	_	_	0	root	_	_
to	_	PART	TO	_	_	4	mark	_	_
do	_	VERB	VB	_	_	2	xcomp	_	_
it	_	PRON	PRP	_	_	4	obj	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
you're poorly Mummy .,"you're	_	_	_	_	_	2	nsubj	_	_
poorly	_	_	_	_	_	0	root	_	_
Mummy	_	_	_	_	_	2	vocative	_	_
.	_	_	_	_	_	2	punct	_	_","you're	_	_	_	_	_	2	nsubj	_	_
poorly	_	_	_	_	_	0	root	_	_
Mummy	_	_	_	_	_	2	vocative	_	_
.	_	_	_	_	_	2	punct	_	_","you	_	PRON	PRP	_	_	4	nsubj	_	_
're	_	AUX	VBP	_	_	4	cop	_	_
poorly	_	ADV	RB	_	_	4	advmod	_	_
Mummy	_	PROPN	NNP	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
you're poorly .,"you're	_	_	_	_	_	2	nsubj	_	_
poorly	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","you're	_	_	_	_	_	2	nsubj	_	_
poorly	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","you	_	PRON	PRP	_	_	3	nsubj	_	_
're	_	AUX	VBP	_	_	3	cop	_	_
poorly	_	ADV	RB	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
check up .,"check	_	_	_	_	_	0	root	_	_
up	_	_	_	_	_	1	compound:prt	_	_
.	_	_	_	_	_	1	punct	_	_","check	_	_	_	_	_	0	root	_	_
up	_	_	_	_	_	1	obj	_	_
.	_	_	_	_	_	1	punct	_	_","check	_	VERB	VB	_	_	0	root	_	_
up	_	ADP	RP	_	_	1	compound:prt	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
wanna read it .,"wanna	_	_	_	_	_	0	root	_	_
read	_	_	_	_	_	1	xcomp	_	_
it	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	1	punct	_	_","wanna	_	_	_	_	_	0	root	_	_
read	_	_	_	_	_	1	xcomp	_	_
it	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	1	punct	_	_","wan	_	VERB	VBP	_	_	0	root	_	_
na	_	PART	TO	_	_	3	mark	_	_
read	_	VERB	VB	_	_	1	xcomp	_	_
it	_	PRON	PRP	_	_	3	obj	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
oops stopped .,"oops	_	_	_	_	_	2	discourse	_	_
stopped	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","oops	_	_	_	_	_	2	discourse	_	_
stopped	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","oops	_	NOUN	NN	_	_	2	nsubj	_	_
stopped	_	VERB	VBD	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
because it's police car .,"because	_	_	_	_	_	4	mark	_	_
it's	_	_	_	_	_	4	cop	_	_
police	_	_	_	_	_	4	compound	_	_
car	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","because	_	_	_	_	_	4	mark	_	_
it's	_	_	_	_	_	4	cop	_	_
police	_	_	_	_	_	4	compound	_	_
car	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","because	_	SCONJ	IN	_	_	5	mark	_	_
it	_	PRON	PRP	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
police	_	NOUN	NN	_	_	5	compound	_	_
car	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
naughty Mummy the policeman say .,"naughty	_	_	_	_	_	5	parataxis	_	_
Mummy	_	_	_	_	_	5	vocative	_	_
the	_	_	_	_	_	4	det	_	_
policeman	_	_	_	_	_	5	nsubj	_	_
say	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	5	punct	_	_","naughty	_	_	_	_	_	2	amod	_	_
Mummy	_	_	_	_	_	5	ccomp	_	_
the	_	_	_	_	_	4	det	_	_
policeman	_	_	_	_	_	5	nsubj	_	_
say	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	5	punct	_	_","naughty	_	ADJ	JJ	_	_	2	amod	_	_
Mummy	_	NOUN	NN	_	_	5	nsubj	_	_
the	_	DET	DT	_	_	4	det	_	_
policeman	_	NOUN	NN	_	_	5	nsubj	_	_
say	_	VERB	VBP	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
um bashed that tray over there up on your .,"um	_	_	_	_	_	2	discourse	_	_
bashed	_	_	_	_	_	0	root	_	_
that	_	_	_	_	_	4	det	_	_
tray	_	_	_	_	_	2	obj	_	_
over	_	_	_	_	_	6	advmod	_	_
there	_	_	_	_	_	2	obl	_	_
up	_	_	_	_	_	9	advmod	_	_
on	_	_	_	_	_	9	case	_	_
your	_	_	_	_	_	2	obl	_	_
.	_	_	_	_	_	2	punct	_	_","um	_	_	_	_	_	2	discourse	_	_
bashed	_	_	_	_	_	0	root	_	_
that	_	_	_	_	_	4	det	_	_
tray	_	_	_	_	_	2	obj	_	_
over	_	_	_	_	_	6	advmod	_	_
there	_	_	_	_	_	4	nmod	_	_
up	_	_	_	_	_	9	advmod	_	_
on	_	_	_	_	_	9	case	_	_
your	_	_	_	_	_	2	obl	_	_
.	_	_	_	_	_	2	punct	_	_","um	_	INTJ	UH	_	_	2	discourse	_	_
bashed	_	VERB	VBD	_	_	0	root	_	_
that	_	DET	DT	_	_	4	det	_	_
tray	_	NOUN	NN	_	_	2	obj	_	_
over	_	ADP	IN	_	_	6	case	_	_
there	_	ADV	RB	_	_	2	obl	_	_
up	_	ADP	RP	_	_	2	compound:prt	_	_
on	_	ADP	IN	_	_	9	case	_	_
your	_	PRON	PRP$	_	_	2	obl	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
and the policeman what's going on .,"and	_	_	_	_	_	3	cc	_	_
the	_	_	_	_	_	3	det	_	_
policeman	_	_	_	_	_	0	root	_	_
what's	_	_	_	_	_	5	aux	_	_
going	_	_	_	_	_	3	parataxis	_	_
on	_	_	_	_	_	5	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","and	_	_	_	_	_	3	cc	_	_
the	_	_	_	_	_	3	det	_	_
policeman	_	_	_	_	_	0	root	_	_
what's	_	_	_	_	_	5	nsubj	_	_
going	_	_	_	_	_	3	acl:relcl	_	_
on	_	_	_	_	_	5	compound:prt	_	_
.	_	_	_	_	_	3	punct	_	_","and	_	CCONJ	CC	_	_	3	cc	_	_
the	_	DET	DT	_	_	3	det	_	_
policeman	_	NOUN	NN	_	_	0	root	_	_
what	_	PRON	WP	_	_	6	nsubj	_	_
's	_	AUX	VBZ	_	_	6	aux	_	_
going	_	VERB	VBG	_	_	3	acl:relcl	_	_
on	_	ADP	RP	_	_	6	compound:prt	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
naughty Mummy policeman said .,"naughty	_	_	_	_	_	0	root	_	_
Mummy	_	_	_	_	_	4	vocative	_	_
policeman	_	_	_	_	_	4	nsubj	_	_
said	_	_	_	_	_	1	parataxis	_	_
.	_	_	_	_	_	1	punct	_	_","naughty	_	_	_	_	_	3	amod	_	_
Mummy	_	_	_	_	_	3	compound	_	_
policeman	_	_	_	_	_	4	nsubj	_	_
said	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","naughty	_	ADJ	JJ	_	_	3	amod	_	_
Mummy	_	NOUN	NN	_	_	3	compound	_	_
policeman	_	NOUN	NN	_	_	4	nsubj	_	_
said	_	VERB	VBD	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
loads of Smarties me .,"loads	_	_	_	_	_	0	root	_	_
of	_	_	_	_	_	3	case	_	_
Smarties	_	_	_	_	_	1	nmod	_	_
me	_	_	_	_	_	1	parataxis	_	_
.	_	_	_	_	_	1	punct	_	_","loads	_	_	_	_	_	0	root	_	_
of	_	_	_	_	_	3	case	_	_
Smarties	_	_	_	_	_	1	nmod	_	_
me	_	_	_	_	_	1	vocative	_	_
.	_	_	_	_	_	1	punct	_	_","loads	_	NOUN	NNS	_	_	0	root	_	_
of	_	ADP	IN	_	_	3	case	_	_
Smarties	_	NOUN	NNS	_	_	1	nmod	_	_
me	_	PRON	PRP	_	_	3	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
um I not like lit little boy .,"um	_	_	_	_	_	7	discourse	_	_
I	_	_	_	_	_	7	nsubj	_	_
not	_	_	_	_	_	7	advmod	_	_
like	_	_	_	_	_	7	case	_	_
lit	_	_	_	_	_	7	amod	_	_
little	_	_	_	_	_	7	amod	_	_
boy	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	7	punct	_	_","um	_	_	_	_	_	7	discourse	_	_
I	_	_	_	_	_	7	nsubj	_	_
not	_	_	_	_	_	7	advmod	_	_
like	_	_	_	_	_	7	discourse	_	_
lit	_	_	_	_	_	7	amod	_	_
little	_	_	_	_	_	7	amod	_	_
boy	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	7	punct	_	_","um	_	INTJ	UH	_	_	7	discourse	_	_
I	_	PRON	PRP	_	_	7	nsubj	_	_
not	_	PART	RB	_	_	7	advmod	_	_
like	_	INTJ	UH	_	_	7	discourse	_	_
lit	_	ADJ	JJ	_	_	7	amod	_	_
little	_	ADJ	JJ	_	_	7	amod	_	_
boy	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	7	punct	_	_"
crying wanna go down there .,"crying	_	_	_	_	_	0	root	_	_
wanna	_	_	_	_	_	1	parataxis	_	_
go	_	_	_	_	_	2	xcomp	_	_
down	_	_	_	_	_	5	advmod	_	_
there	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	1	punct	_	_","crying	_	_	_	_	_	0	root	_	_
wanna	_	_	_	_	_	1	ccomp	_	_
go	_	_	_	_	_	2	xcomp	_	_
down	_	_	_	_	_	5	advmod	_	_
there	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	1	punct	_	_","crying	_	VERB	VBG	_	_	2	csubj	_	_
wan	_	VERB	VB	_	_	0	root	_	_
na	_	PART	TO	_	_	4	mark	_	_
go	_	VERB	VB	_	_	2	xcomp	_	_
down	_	ADP	RP	_	_	4	compound:prt	_	_
there	_	ADV	RB	_	_	4	advmod	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
the another train driver .,"the	_	_	_	_	_	2	reparandum	_	_
another	_	_	_	_	_	4	det	_	_
train	_	_	_	_	_	4	compound	_	_
driver	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","the	_	_	_	_	_	4	reparandum	_	_
another	_	_	_	_	_	4	det	_	_
train	_	_	_	_	_	4	compound	_	_
driver	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","the	_	DET	DT	_	_	4	det	_	_
another	_	DET	DT	_	_	4	det	_	_
train	_	NOUN	NN	_	_	4	compound	_	_
driver	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
it's in playgroup .,"it's	_	_	_	_	_	3	nsubj	_	_
in	_	_	_	_	_	3	case	_	_
playgroup	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it's	_	_	_	_	_	3	nsubj	_	_
in	_	_	_	_	_	3	case	_	_
playgroup	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it	_	PRON	PRP	_	_	4	nsubj	_	_
's	_	AUX	VBZ	_	_	4	cop	_	_
in	_	ADP	IN	_	_	4	case	_	_
playgroup	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
driver oh that's mine .,"driver	_	_	_	_	_	0	root	_	_
oh	_	_	_	_	_	4	discourse	_	_
that's	_	_	_	_	_	4	nsubj	_	_
mine	_	_	_	_	_	1	parataxis	_	_
.	_	_	_	_	_	1	punct	_	_","driver	_	_	_	_	_	0	root	_	_
oh	_	_	_	_	_	4	discourse	_	_
that's	_	_	_	_	_	4	nsubj	_	_
mine	_	_	_	_	_	1	parataxis	_	_
.	_	_	_	_	_	1	punct	_	_","driver	_	NOUN	NN	_	_	5	vocative	_	_
oh	_	INTJ	UH	_	_	5	discourse	_	_
that	_	PRON	DT	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
mine	_	PRON	PRP	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
broken the train driver .,"broken	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	4	det	_	_
train	_	_	_	_	_	4	compound	_	_
driver	_	_	_	_	_	1	parataxis	_	_
.	_	_	_	_	_	1	punct	_	_","broken	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	4	det	_	_
train	_	_	_	_	_	4	compound	_	_
driver	_	_	_	_	_	1	obj	_	_
.	_	_	_	_	_	1	punct	_	_","broken	_	VERB	VBD	_	_	0	root	_	_
the	_	DET	DT	_	_	4	det	_	_
train	_	NOUN	NN	_	_	4	compound	_	_
driver	_	NOUN	NN	_	_	1	obj	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
this this the police car nee nah nee nah .,"this	_	_	_	_	_	2	reparandum	_	_
this	_	_	_	_	_	5	nsubj	_	_
the	_	_	_	_	_	5	det	_	_
police	_	_	_	_	_	5	compound	_	_
car	_	_	_	_	_	0	root	_	_
nee	_	_	_	_	_	5	discourse	_	_
nah	_	_	_	_	_	6	conj	_	_
nee	_	_	_	_	_	6	conj	_	_
nah	_	_	_	_	_	6	conj	_	_
.	_	_	_	_	_	5	punct	_	_","this	_	_	_	_	_	2	reparandum	_	_
this	_	_	_	_	_	5	nsubj	_	_
the	_	_	_	_	_	5	det	_	_
police	_	_	_	_	_	5	compound	_	_
car	_	_	_	_	_	0	root	_	_
nee	_	_	_	_	_	5	discourse	_	_
nah	_	_	_	_	_	5	discourse	_	_
nee	_	_	_	_	_	5	discourse	_	_
nah	_	_	_	_	_	5	discourse	_	_
.	_	_	_	_	_	5	punct	_	_","this	_	PRON	DT	_	_	5	nsubj	_	_
this	_	DET	DT	_	_	5	det	_	_
the	_	DET	DT	_	_	5	det	_	_
police	_	NOUN	NN	_	_	5	compound	_	_
car	_	NOUN	NN	_	_	0	root	_	_
nee	_	INTJ	UH	_	_	5	reparandum	_	_
nah	_	INTJ	UH	_	_	5	discourse	_	_
nee	_	INTJ	UH	_	_	5	discourse	_	_
nah	_	INTJ	UH	_	_	5	discourse	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
